***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1214648;
PM number         : 20091365;
Serial number     : FB3-AOT-03-653      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 072;
Ref LED amplitude : 56039;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 9;
Internal temp     : 20.0 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : OFF;
Analog out        : chA o chB o;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 58.93 at 012.0°C amp 009600;
100.00%a.s.phase 2: 32.01 at 010.0°C amp 004500;
Date   (ddmmyy)   : 111219;
Pressure (mBar)   : 0988;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
30/12/19;
1:35:27 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 1:35:27 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/°; amp; temp/°C; ErrorMessage;
30/12/19;   13:35:27;       0.000;  99.484;   30.77;    3881;   15.00; E0;
30/12/19;   13:35:28;       0.017;  99.750;   30.74;    3887;   15.00; E0;
30/12/19;   13:35:29;       0.034; 100.394;   30.67;    3894;   15.00; E0;
30/12/19;   13:35:30;       0.051; 100.842;   30.62;    3887;   15.00; E0;
30/12/19;   13:35:31;       0.068; 101.292;   30.57;    3881;   15.00; E0;
30/12/19;   13:35:32;       0.085; 101.269;   30.57;    3881;   15.00; E0;
30/12/19;   13:35:33;       0.102; 100.663;   30.64;    3888;   15.00; E0;
30/12/19;   13:35:34;       0.119; 100.506;   30.66;    3887;   15.00; E0;
30/12/19;   13:35:35;       0.135; 100.305;   30.68;    3894;   15.00; E0;
30/12/19;   13:35:36;       0.152; 100.327;   30.67;    3887;   15.00; E0;
30/12/19;   13:35:37;       0.169; 100.327;   30.67;    3888;   15.00; E0;
30/12/19;   13:35:38;       0.186; 100.216;   30.69;    3887;   15.00; E0;
30/12/19;   13:35:39;       0.203; 100.372;   30.67;    3894;   15.00; E0;
30/12/19;   13:35:40;       0.220; 100.172;   30.69;    3888;   15.00; E0;
30/12/19;   13:35:41;       0.237; 100.149;   30.70;    3888;   15.00; E0;
30/12/19;   13:35:42;       0.254; 100.216;   30.69;    3881;   15.00; E0;
30/12/19;   13:35:43;       0.271; 100.305;   30.68;    3887;   15.00; E0;
30/12/19;   13:35:44;       0.288; 100.484;   30.66;    3894;   15.00; E0;
30/12/19;   13:35:45;       0.305; 100.932;   30.61;    3887;   15.00; E0;
30/12/19;   13:35:46;       0.322; 101.089;   30.59;    3887;   15.00; E0;
30/12/19;   13:35:47;       0.339; 100.864;   30.62;    3894;   15.00; E0;
30/12/19;   13:35:48;       0.355; 100.820;   30.62;    3887;   15.00; E0;
30/12/19;   13:35:49;       0.372; 100.551;   30.65;    3887;   15.00; E0;
30/12/19;   13:35:50;       0.389; 100.439;   30.66;    3887;   15.00; E0;
30/12/19;   13:35:51;       0.406; 100.172;   30.69;    3894;   15.00; E0;
30/12/19;   13:35:52;       0.423; 100.216;   30.69;    3887;   15.00; E0;
30/12/19;   13:35:53;       0.440;  99.971;   30.71;    3875;   15.00; E0;
30/12/19;   13:35:54;       0.457;  99.816;   30.73;    3900;   15.00; E0;
30/12/19;   13:35:55;       0.474; 100.461;   30.66;    3900;   15.00; E0;
30/12/19;   13:35:56;       0.491; 100.261;   30.68;    3900;   15.00; E0;
30/12/19;   13:35:57;       0.508; 100.305;   30.68;    3906;   15.00; E0;
30/12/19;   13:35:58;       0.525; 100.596;   30.64;    3881;   15.00; E0;
30/12/19;   13:35:59;       0.542; 100.372;   30.67;    3887;   15.00; E0;
30/12/19;   13:36:00;       0.559; 100.775;   30.63;    3881;   15.00; E0;
30/12/19;   13:36:01;       0.575; 101.044;   30.59;    3881;   15.00; E0;
30/12/19;   13:36:02;       0.592; 100.618;   30.64;    3894;   15.00; E0;
30/12/19;   13:36:03;       0.609; 100.394;   30.67;    3875;   15.00; E0;
30/12/19;   13:36:04;       0.626;  99.905;   30.72;    3881;   15.00; E0;
30/12/19;   13:36:05;       0.643;  99.683;   30.75;    3881;   15.00; E0;
30/12/19;   13:36:06;       0.660;  99.727;   30.74;    3881;   15.00; E0;
30/12/19;   13:36:07;       0.677;  99.905;   30.72;    3881;   15.00; E0;
30/12/19;   13:36:08;       0.694; 100.127;   30.70;    3881;   15.00; E0;
30/12/19;   13:36:09;       0.711; 100.551;   30.65;    3894;   15.00; E0;
30/12/19;   13:36:10;       0.728; 100.775;   30.63;    3887;   15.00; E0;
30/12/19;   13:36:11;       0.745; 100.999;   30.60;    3881;   15.00; E0;
30/12/19;   13:36:12;       0.762; 101.022;   30.60;    3881;   15.00; E0;
30/12/19;   13:36:13;       0.779; 100.618;   30.64;    3881;   15.00; E0;
30/12/19;   13:36:14;       0.796; 100.484;   30.66;    3887;   15.00; E0;
30/12/19;   13:36:15;       0.812; 100.461;   30.66;    3887;   15.00; E0;
30/12/19;   13:36:16;       0.829; 100.261;   30.68;    3881;   15.00; E0;
30/12/19;   13:36:17;       0.846; 100.551;   30.65;    3875;   15.00; E0;
30/12/19;   13:36:18;       0.863; 101.067;   30.59;    3881;   15.00; E0;
30/12/19;   13:36:19;       0.880; 100.864;   30.62;    3881;   15.00; E0;
30/12/19;   13:36:20;       0.897; 100.999;   30.60;    3887;   15.00; E0;
30/12/19;   13:36:21;       0.914; 100.842;   30.62;    3881;   15.00; E0;
30/12/19;   13:36:22;       0.931; 100.372;   30.67;    3875;   15.00; E0;
30/12/19;   13:36:23;       0.948; 100.127;   30.70;    3887;   15.00; E0;
30/12/19;   13:36:24;       0.965; 100.350;   30.67;    3881;   15.00; E0;
30/12/19;   13:36:25;       0.982; 100.372;   30.67;    3881;   15.00; E0;
30/12/19;   13:36:26;       0.999; 100.596;   30.65;    3881;   15.00; E0;
30/12/19;   13:36:27;       1.016; 100.887;   30.61;    3894;   15.00; E0;
30/12/19;   13:36:28;       1.033; 100.685;   30.64;    3875;   15.00; E0;
30/12/19;   13:36:30;       1.050; 101.089;   30.59;    3875;   15.00; E0;
30/12/19;   13:36:31;       1.067; 101.022;   30.60;    3881;   15.00; E0;
30/12/19;   13:36:32;       1.084; 100.797;   30.62;    3875;   15.00; E0;
30/12/19;   13:36:33;       1.100; 100.618;   30.64;    3888;   15.00; E0;
30/12/19;   13:36:34;       1.117; 100.439;   30.66;    3875;   15.00; E0;
30/12/19;   13:36:35;       1.134; 100.551;   30.65;    3881;   15.00; E0;
30/12/19;   13:36:36;       1.151; 100.573;   30.65;    3887;   15.00; E0;
30/12/19;   13:36:37;       1.168; 100.797;   30.62;    3881;   15.00; E0;
30/12/19;   13:36:38;       1.185; 100.506;   30.65;    3887;   15.00; E0;
30/12/19;   13:36:39;       1.202; 100.283;   30.68;    3875;   15.00; E0;
30/12/19;   13:36:40;       1.219; 100.417;   30.66;    3894;   15.00; E0;
30/12/19;   13:36:41;       1.236; 100.417;   30.66;    3887;   15.00; E0;
30/12/19;   13:36:42;       1.253; 100.283;   30.68;    3888;   15.00; E0;
30/12/19;   13:36:43;       1.270; 100.283;   30.68;    3887;   15.00; E0;
30/12/19;   13:36:44;       1.286; 100.105;   30.70;    3875;   15.00; E0;
30/12/19;   13:36:45;       1.304; 100.083;   30.70;    3887;   15.00; E0;
30/12/19;   13:36:46;       1.321;  99.994;   30.71;    3888;   15.00; E0;
30/12/19;   13:36:47;       1.337;  99.994;   30.71;    3881;   15.00; E0;
30/12/19;   13:36:48;       1.354; 100.016;   30.71;    3881;   15.00; E0;
30/12/19;   13:36:49;       1.371;  99.816;   30.73;    3881;   15.00; E0;
30/12/19;   13:36:50;       1.388; 100.105;   30.70;    3887;   15.00; E0;
30/12/19;   13:36:51;       1.405; 100.238;   30.69;    3887;   15.00; E0;
30/12/19;   13:36:52;       1.422;  99.927;   30.72;    3888;   15.00; E0;
30/12/19;   13:36:53;       1.439;  99.927;   30.72;    3881;   15.00; E0;
30/12/19;   13:36:54;       1.456; 100.105;   30.70;    3881;   15.00; E0;
30/12/19;   13:36:55;       1.473;  99.949;   30.72;    3881;   15.00; E0;
30/12/19;   13:36:56;       1.490; 100.038;   30.71;    3881;   15.00; E0;
30/12/19;   13:36:57;       1.507; 100.439;   30.66;    3875;   15.00; E0;
30/12/19;   13:36:58;       1.524; 100.417;   30.66;    3881;   15.00; E0;
30/12/19;   13:36:59;       1.541; 100.618;   30.64;    3881;   15.00; E0;
30/12/19;   13:37:00;       1.558; 100.977;   30.60;    3881;   15.00; E0;
30/12/19;   13:37:01;       1.574; 100.797;   30.62;    3875;   15.00; E0;
30/12/19;   13:37:02;       1.591; 100.573;   30.65;    3887;   15.00; E0;
30/12/19;   13:37:03;       1.608; 100.596;   30.64;    3894;   15.00; E0;
30/12/19;   13:37:04;       1.625; 100.461;   30.66;    3881;   15.00; E0;
30/12/19;   13:37:05;       1.642; 100.194;   30.69;    3875;   15.00; E0;
30/12/19;   13:37:06;       1.659; 100.038;   30.71;    3881;   15.00; E0;
30/12/19;   13:37:07;       1.676;  99.794;   30.73;    3887;   15.00; E0;
30/12/19;   13:37:08;       1.693;  99.971;   30.72;    3881;   15.00; E0;
30/12/19;   13:37:09;       1.710; 100.038;   30.71;    3888;   15.00; E0;
30/12/19;   13:37:10;       1.727; 100.327;   30.67;    3881;   15.00; E0;
30/12/19;   13:37:11;       1.744; 100.305;   30.68;    3875;   15.00; E0;
30/12/19;   13:37:12;       1.761; 100.238;   30.68;    3887;   15.00; E0;
