Time;Seconds from start for linreg;Unix Time;ch1 po2;Uc;Ubl;Vc;
21:03:50;-1.0;1571252631;98.784;16.959768603674995;0.5002881594004424;-0.439453125;
21:03:51;0.0;1571252632;98.784;17.085338406550914;0.5039922833790831;-0.44189453125;
21:03:52;1.0;1571252633;98.697;16.45748939217133;0.48547166348587995;-0.4296875;
21:03:53;2.0;1571252634;98.697;16.583059195047245;0.4891757874645205;-0.43212890625;
21:03:54;3.0;1571252635;98.805;16.583059195047245;0.4891757874645205;-0.43212890625;
21:03:55;4.0;1571252636;98.805;16.83419880079908;0.4965840354218018;-0.43701171875;
21:03:56;5.0;1571252637;99.108;17.085338406550914;0.5039922833790831;-0.44189453125;
21:03:57;6.0;1571252638;99.325;16.70862899792316;0.49287991144316107;-0.4345703125;
21:03:58;7.0;1571252639;99.259;16.70862899792316;0.49287991144316107;-0.4345703125;
21:03:59;8.0;1571252640;99.281;16.45748939217133;0.48547166348587995;-0.4296875;
21:04:00;9.0;1571252642;99.043;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:01;10.0;1571252642;98.978;9999.0;9999.0;9999.0;
21:04:02;11.0;1571252643;98.935;16.959768603674995;0.5002881594004424;-0.439453125;
21:04:03;12.0;1571252644;99.086;16.583059195047245;0.4891757874645205;-0.43212890625;
21:04:04;13.0;1571252645;98.978;17.085338406550914;0.5039922833790831;-0.44189453125;
21:04:05;14.0;1571252646;98.87;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:06;15.0;1571252647;98.654;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:07;16.0;1571252648;98.633;16.583059195047245;0.4891757874645205;-0.43212890625;
21:04:08;17.0;1571252649;98.762;16.70862899792316;0.49287991144316107;-0.4345703125;
21:04:09;18.0;1571252650;99.0;16.206349786419494;0.47806341552859866;-0.4248046875;
21:04:10;19.0;1571252651;99.173;16.583059195047245;0.4891757874645205;-0.43212890625;
21:04:11;20.0;1571252652;99.086;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:12;21.0;1571252654;98.913;16.583059195047245;0.4891757874645205;-0.43212890625;
21:04:13;22.0;1571252655;98.784;16.583059195047245;0.4891757874645205;-0.43212890625;
21:04:14;23.0;1571252655;98.827;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:15;24.0;1571252656;98.719;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:16;25.0;1571252657;98.762;18.089896829558246;0.5336252752082079;-0.46142578125;
21:04:17;26.0;1571252658;98.676;17.838757223806414;0.5262170272509267;-0.45654296875;
21:04:18;27.0;1571252660;98.611;16.08077998354358;0.4743592915499581;-0.42236328125;
21:04:19;28.0;1571252661;98.697;16.70862899792316;0.49287991144316107;-0.4345703125;
21:04:20;29.0;1571252662;98.762;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:21;30.0;1571252663;98.913;16.959768603674995;0.5002881594004424;-0.439453125;
21:04:22;31.0;1571252664;98.913;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:23;32.0;1571252664;98.87;9999.0;9999.0;9999.0;
21:04:24;33.0;1571252666;99.0;15.578500772039913;0.4595427956353957;-0.41259765625;
21:04:25;34.0;1571252667;98.978;16.08077998354358;0.4743592915499581;-0.42236328125;
21:04:26;35.0;1571252668;98.87;17.58761761805458;0.5188087792936454;-0.45166015625;
21:04:27;36.0;1571252669;99.0;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:28;37.0;1571252670;98.956;16.83419880079908;0.4965840354218018;-0.43701171875;
21:04:29;38.0;1571252671;98.827;16.70862899792316;0.49287991144316107;-0.4345703125;
21:04:30;39.0;1571252672;98.892;16.583059195047245;0.4891757874645205;-0.43212890625;
21:04:31;40.0;1571252673;98.848;17.21090820942683;0.5076964073577236;-0.4443359375;
21:04:32;41.0;1571252674;98.762;16.331919589295413;0.48176753950723933;-0.42724609375;
21:04:33;42.0;1571252675;98.978;16.70862899792316;0.49287991144316107;-0.4345703125;
21:04:35;44.0;1571252676;99.021;16.206349786419494;0.47806341552859866;-0.4248046875;
21:04:36;45.0;1571252677;98.805;16.70862899792316;0.49287991144316107;-0.4345703125;
21:04:37;46.0;1571252678;98.719;19.47116466119333;0.5743706389732546;-0.48828125;
21:04:38;47.0;1571252679;98.504;16.583059195047245;0.4891757874645205;-0.43212890625;
21:04:39;48.0;1571252680;98.461;16.45748939217133;0.48547166348587995;-0.4296875;
21:04:40;49.0;1571252681;98.525;16.959768603674995;0.5002881594004424;-0.439453125;
