AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1571241227
Flush time ,s: 540
Wait time, s: 60
Measurement time, s: 600
Mass of fish, kg: 0.343
Fish length - width - heigth, cm: 33.9;4;5.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.657
Salinity: 0
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-10-16 18:03:49;0.3338888888888889;1571242428;216.68843489621608;74.32413316940212;-0.006018048499613012;99.02418591150757;0.9514922239029759;0.0;0.009098229218347787;600;97.22412414965986;97.18;95.171;99.238;4.066999999999993;10.836821312959534;92.29446064139941;0.3338888888888889;20.033333333333335;1202;0.013912037037037037;0.343;74.32413316940212;15.551309383952553;16.70862899792316;0.49287991144316107;-0.4345703125;19.995571453880373;
2019-10-16 18:23:49;0.6672222222222223;1571243629;216.21084967297338;74.16032143782988;-0.006004784612052286;98.83928473948734;0.9550751059465243;0.0;0.00877075757547387;600;97.0448686006826;96.948;94.985;99.325;4.340000000000003;10.836821312959534;92.29446064139941;0.6672222222222223;40.03333333333333;2402;0.027800925925925927;0.343;74.16032143782988;15.668181621288607;16.83419880079908;0.4965840354218018;-0.43701171875;19.95150085333706;
2019-10-16 18:43:49;1.0008333333333332;1571244829;206.6042288030943;70.86525047946135;-0.00573798167750704;98.82291298168616;0.9439582906503416;0.0;0.009779279947743868;601;97.10222108843537;97.117;94.944;99.259;4.314999999999998;10.836821312959534;92.29446064139941;1.0008333333333332;60.05;3603;0.04170138888888889;0.343;70.86525047946135;15.668181621288607;16.83419880079908;0.4965840354218018;-0.43701171875;19.065021267446802;
2019-10-16 19:03:50;1.3341666666666667;1571246029;180.62552095117633;61.95455368625348;-0.005016479748320095;98.79227608601201;0.9379512647720684;0.0;0.010316495411617617;600;97.2902905982906;97.308;95.171;99.151;3.9799999999999898;10.836821312959534;92.29446064139941;1.3341666666666667;80.05;4803;0.05559027777777778;0.343;61.95455368625348;15.551309383952553;16.70862899792316;0.49287991144316107;-0.4345703125;16.667758536829425;
2019-10-16 19:23:50;1.6675;1571247229;194.94644607427384;66.86663100347593;-0.005414212197637962;98.86073779355739;0.933867845467195;0.0;0.010614200456632092;600;97.23746689303906;97.202;95.233;99.303;4.069999999999993;10.836821312959534;92.29446064139941;1.6675;100.05;6003;0.06947916666666666;0.343;66.86663100347593;15.668181621288607;16.83419880079908;0.4965840354218018;-0.43701171875;17.989264604846934;
2019-10-16 19:43:50;2.0008333333333335;1571248430;206.0247584155524;70.66649213653449;-0.005721888151805094;98.82993196360327;0.9360022639461048;0.0;0.010441508703728739;600;97.11372495755518;97.159;94.882;99.151;4.268999999999991;10.836821312959534;92.29446064139941;2.0008333333333335;120.05;7203;0.08336805555555556;0.343;70.66649213653449;15.668181621288607;16.83419880079908;0.4965840354218018;-0.43701171875;19.011548909565537;
2019-10-16 20:03:50;2.3344444444444443;1571249630;195.7965347020622;67.15821140280734;-0.005437821554516885;98.78316315470488;0.9460403537739063;0.0;0.00961231785246076;601;97.15854436860069;97.18;95.212;99.303;4.090999999999994;10.836821312959534;92.29446064139941;2.3344444444444443;140.06666666666666;8404;0.09726851851851852;0.343;67.15821140280734;15.668181621288607;16.83419880079908;0.4965840354218018;-0.43701171875;18.06770906777923;
2019-10-16 20:23:51;2.667777777777778;1571250830;189.00367749941142;64.82826138229812;-0.005249164766645037;99.03916518827972;0.9462711206886116;0.0;0.00958353995865439;600;97.46495229982963;97.456;95.627;99.216;3.5889999999999986;10.836821312959534;92.29446064139941;2.667777777777778;160.06666666666666;9604;0.11115740740740741;0.343;64.82826138229812;15.668181621288607;16.83419880079908;0.4965840354218018;-0.4345703125;17.440877914392274;
2019-10-16 20:43:51;3.0011111111111113;1571252030;179.6789396166886;61.6298762885242;-0.004990190517044305;98.98131656787342;0.931509918947741;0.0;0.010838759071168875;600;97.48665641025642;97.499;95.752;99.194;3.4420000000000073;10.836821312959534;92.29446064139941;3.0011111111111113;180.06666666666666;10804;0.1250462962962963;0.343;61.6298762885242;15.668181621288607;16.83419880079908;0.4965840354218018;-0.43701171875;16.580409921663488;
2019-10-16 21:03:51;3.3344444444444443;1571253230;208.59102342202735;71.54672103375539;-0.005793160563178701;99.09154141277457;0.9544483561767599;0.0;0.008831726337941399;600;97.36203583617748;97.35;95.171;99.325;4.153999999999996;10.836821312959534;92.29446064139941;3.3344444444444443;200.06666666666666;12004;0.1389351851851852;0.343;71.54672103375539;15.551309383952553;16.70862899792316;0.49287991144316107;-0.4345703125;19.248358665153738;
