AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1575646639
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.433
Fish length - width - heigth, cm: 33.3;4.7;7.2;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.567
Salinity: 0.0
Temperature: 10

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-12-06 15:47:50;0.41638888888888886;1575648137;157.0885327240658;68.01933466952049;-0.005269693174999451;95.77157415464701;0.9556263139602417;0.0;0.007225256847847192;868;93.48137910798123;93.407;90.585;96.034;5.449000000000012;11.358245179628387;72.90300230946882;0.41638888888888886;24.983333333333334;1499;0.01734953703703704;0.433;68.01933466952049;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;13.830352333458375;
2019-12-06 16:12:48;0.8330555555555555;1575649637;169.52650361166727;73.40497606385192;-0.005686937445861458;97.5535979296825;0.9549529175064124;0.0;0.007279874149977787;870;95.08339788732394;95.081;92.283;97.654;5.370999999999995;11.358245179628387;72.90300230946882;0.8330555555555555;49.983333333333334;2999;0.03471064814814815;0.433;73.40497606385192;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;14.925413294979933;
2019-12-06 16:37:48;1.2497222222222222;1575651137;194.40622211692383;84.17789417662802;-0.006521552681802054;97.99608831739972;0.9654790569698812;0.0;0.00638033378700759;870;95.1578011764706;95.1945;91.687;98.486;6.799000000000007;11.358245179628387;72.90300230946882;1.2497222222222222;74.98333333333333;4499;0.05207175925925926;0.433;84.17789417662802;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;17.115867728018557;
2019-12-06 17:02:48;1.666388888888889;1575652638;135.75127371989979;58.780301520716606;-0.00455391331381151;97.88126592935532;0.9302563173079379;0.0;0.009052898640005141;870;95.89951817116061;95.909;93.387;98.358;4.971000000000004;11.358245179628387;72.90300230946882;1.666388888888889;99.98333333333333;5999;0.06943287037037037;0.433;58.780301520716606;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;11.951782302021167;
2019-12-06 17:27:48;2.0830555555555557;1575654138;204.8914928130618;88.71801638805576;-0.00687329165642547;98.19083016866675;0.9625804489217418;0.0;0.006631083649165541;870;95.20577491207503;95.122;91.726;98.83;7.103999999999999;11.358245179628387;72.90300230946882;2.0830555555555557;124.98333333333333;7499;0.08679398148148149;0.433;88.71801638805576;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;18.0390095100734;
2019-12-06 17:52:48;2.499722222222222;1575655638;180.59767386552187;78.19879278377097;-0.006058331011733481;97.89413767810473;0.9610561347286628;0.0;0.0067767521294309335;870;95.2632682352941;95.267;92.263;98.187;5.923999999999992;11.358245179628387;72.90300230946882;2.499722222222222;149.98333333333332;8999;0.10415509259259259;0.433;78.19879278377097;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;15.900138710637568;
2019-12-06 18:17:48;2.9163888888888887;1575657138;169.70334555536618;73.48154862547355;-0.005692869787118989;97.83496143542098;0.9505068821658251;0.0;0.007630674770423022;870;95.36253873239437;95.536;92.263;98.272;6.009;11.358245179628387;72.90300230946882;2.9163888888888887;174.98333333333332;10499;0.12151620370370371;0.433;73.48154862547355;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;14.94098277256227;
2019-12-06 18:42:48;3.3330555555555557;1575658638;182.94704443977167;79.21607024242114;-0.006137143015805193;98.59505843920265;0.9416530489887727;0.0;0.00828513559200539;870;95.92682746478873;96.10749999999999;92.323;98.529;6.206000000000003;11.358245179628387;72.90300230946882;3.3330555555555557;199.98333333333332;11999;0.13887731481481483;0.433;79.21607024242114;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;16.106981452372313;
2019-12-06 19:07:48;3.749722222222222;1575660138;141.99463894622366;61.48367866371484;-0.004763353293622;98.42960994204007;0.9236989168453129;0.0;0.009480069177353364;870;96.35708108108106;96.473;93.468;98.938;5.469999999999999;11.358245179628387;72.90300230946882;3.749722222222222;224.98333333333332;13499;0.15623842592592593;0.433;61.48367866371484;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;12.50145922196666;
2019-12-06 19:32:48;4.166388888888889;1575661638;145.35473865445545;62.93860183737921;-0.00487607122530508;98.8802288951306;0.9299776574846044;0.0;0.009081643980014617;870;96.75920094007051;96.683;93.813;99.543;5.730000000000004;11.358245179628387;72.90300230946882;4.166388888888889;249.98333333333332;14999;0.17359953703703704;0.433;62.93860183737921;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;12.797288344783828;
2019-12-06 19:57:48;4.583055555555555;1575663138;144.02909352440983;62.36459749606946;-0.004831601123171379;99.17944265671645;0.93255243238795;0.0;0.00890786616107293;870;97.07541079812206;97.188;94.547;99.543;4.996000000000009;11.358245179628387;72.90300230946882;4.583055555555555;274.98333333333335;16499;0.19096064814814814;0.433;62.36459749606946;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;12.680576202275825;
2019-12-06 20:22:48;4.999722222222222;1575664638;130.40915813008485;56.46716547032674;-0.004374706661514648;99.15920220795165;0.9176456897257884;0.0;0.009854741596162545;870;97.25337411764708;97.315;94.69;99.391;4.701000000000008;11.358245179628387;72.90300230946882;4.999722222222222;299.98333333333335;17999;0.20832175925925925;0.433;56.46716547032674;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;11.481452994515434;
2019-12-06 20:47:48;5.416388888888889;1575666138;127.31355556773254;55.12676956082819;-0.004270861553202425;99.20748724831076;0.9151264418771254;0.0;0.00999255947445101;870;97.34787793427229;97.4;95.06;99.608;4.548000000000002;11.358245179628387;72.90300230946882;5.416388888888889;324.98333333333335;19499;0.22568287037037038;0.433;55.12676956082819;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;11.208910668355365;
2019-12-06 21:12:48;5.833055555555555;1575667638;156.09455653882225;67.58894298131003;-0.005236349241940438;99.08109332089992;0.9441588038504583;0.0;0.00810527759437108;870;96.79889319248825;96.83;94.179;99.543;5.364000000000004;11.358245179628387;72.90300230946882;5.833055555555555;349.98333333333335;20999;0.24304398148148149;0.433;67.58894298131003;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;13.742840911621284;
2019-12-06 21:37:48;6.249722222222222;1575669138;156.273706917378;67.66651509522468;-0.005242359021972136;98.90901344141783;0.943640376615752;0.0;0.008147609315318358;870;96.62920329024676;96.662;93.448;99.262;5.814000000000007;11.358245179628387;72.90300230946882;6.249722222222222;374.98333333333335;22499;0.2604050925925926;0.433;67.66651509522468;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;13.758613627892375;
2019-12-06 22:02:48;6.666666666666667;1575670638;160.44070142835895;69.47082371847942;-0.005382145053160983;98.9731389063617;0.9514729924729814;0.0;0.007564736923730906;871;96.62819529411763;96.704;93.873;99.327;5.4539999999999935;11.358245179628387;72.90300230946882;6.666666666666667;400.0;24000;0.2777777777777778;0.433;69.47082371847942;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;14.125483196657687;
2019-12-06 22:27:48;7.083333333333333;1575672138;141.39891794165356;61.225731468735994;-0.004743369232038708;99.11931015653441;0.912807857448914;0.0;0.010140065227584923;871;97.05498470588235;97.21;94.118;99.262;5.1440000000000055;11.358245179628387;72.90300230946882;7.083333333333333;425.0;25500;0.2951388888888889;0.433;61.225731468735994;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;12.449010890807322;
2019-12-06 22:52:49;7.5;1575673638;131.1858362199384;56.80346708323333;-0.004400761110927975;99.10854306531749;0.9265050014329962;0.0;0.009315092840361913;871;97.19303533568903;97.273;94.834;99.978;5.143999999999991;11.358245179628387;72.90300230946882;7.5;450.0;27000;0.3125;0.433;56.80346708323333;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;11.549833107602497;
2019-12-06 23:17:48;7.916666666666667;1575675138;173.28079086952644;75.03058244650495;-0.00581287879623666;99.28052678288124;0.9530627609976179;0.0;0.007431035000541518;871;96.74531338028169;96.71449999999999;93.833;99.435;5.602000000000004;11.358245179628387;72.90300230946882;7.916666666666667;475.0;28500;0.3298611111111111;0.433;75.03058244650495;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;15.255947387041328;
2019-12-06 23:42:49;8.333333333333334;1575676638;156.68574537246397;67.8449277462769;-0.005256181267281524;99.2555018966844;0.9491141227979858;0.0;0.007746414051853451;870;96.96972470588234;96.977;94.342;99.478;5.135999999999996;11.358245179628387;72.90300230946882;8.333333333333334;500.0;30000;0.3472222222222222;0.433;67.8449277462769;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;13.79489022243402;
2019-12-07 00:07:49;8.75;1575678138;148.33204550363286;64.22777570307302;-0.004975947984677128;99.12556001218795;0.934097629681746;0.0;0.008810421225185492;870;96.96570622796709;97.062;94.363;99.435;5.072000000000003;11.358245179628387;72.90300230946882;8.75;525.0;31500;0.3645833333333333;0.433;64.22777570307302;15.668181621288607;17.329841573249773;0.5204156628603536;-0.43701171875;13.05941570707368;
