AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1576248210
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.491
Fish length - width - heigth, cm: 35;4.5;7.3;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.509
Salinity: 30.0
Temperature: 10

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-12-13 14:54:01;0.4172222222222222;1576249711;126.53127567301014;62.12685635544798;-0.005832750637853588;97.96802113046445;0.944016833621247;0.0;0.008125139068385535;871;95.43563294117646;95.66;92.104;98.208;6.103999999999999;9.390070390729239;64.17311608961303;0.4172222222222222;25.033333333333335;1502;0.01738425925925926;0.491;62.12685635544798;15.668181621288607;17.35274923572089;0.49579283530631113;-0.43701171875;13.47500821697074;
2019-12-13 15:19:01;0.8338888888888889;1576251211;151.01079566193064;74.14630067000795;-0.006961190504363066;98.12266778430218;0.9545704084480566;0.0;0.0073150208943957;870;95.10487309048179;95.246;91.469;98.315;6.846000000000004;9.390070390729239;64.17311608961303;0.8338888888888889;50.03333333333333;3002;0.03474537037037037;0.491;74.14630067000795;15.668181621288607;17.35274923572089;0.49579283530631113;-0.43701171875;16.08196630890251;
2019-12-13 15:44:01;1.2502777777777778;1576252711;175.79718005526163;86.31641540713346;-0.008103775992506721;97.5104544959005;0.9692494439327861;0.0;0.006014742287493081;870;93.99092370892019;94.158;89.73;97.463;7.73299999999999;9.390070390729239;64.17311608961303;1.2502777777777778;75.01666666666667;4501;0.05209490740740741;0.491;86.31641540713346;15.668181621288607;17.35274923572089;0.49579283530631113;-0.43701171875;18.721604071128706;
2019-12-13 16:09:01;1.6669444444444443;1576254211;193.4096300329227;94.96412834616504;-0.008915662447416461;96.64960499715865;0.9747180583956341;0.0;0.00545696749428165;870;92.77580728554643;92.863;88.102;96.515;8.412999999999997;9.390070390729239;64.17311608961303;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.491;94.96412834616504;15.668181621288607;17.35274923572089;0.49579283530631113;-0.43701171875;20.59725028513896;
2019-12-13 16:34:01;2.0838888888888887;1576255711;126.54912576719796;62.1356207516942;-0.005833573479065819;96.18675791232025;0.9394696455538868;0.0;0.008433771464283722;871;93.6522309495897;93.833;90.079;96.16;6.081000000000003;9.390070390729239;64.17311608961303;2.0838888888888887;125.03333333333333;7502;0.0868287037037037;0.491;62.1356207516942;26.654171930877492;29.519900444214283;0.8434257269775509;-0.66650390625;13.476909171217628;
2019-12-13 16:59:02;2.5005555555555556;1576257211;146.60991261060056;71.98546709180488;-0.006758321661950537;96.82989969982391;0.9636755594753353;0.0;0.006548740203899045;870;93.89382685512368;93.975;90.683;97.125;6.441999999999993;9.390070390729239;64.17311608961303;2.5005555555555556;150.03333333333333;9002;0.10418981481481482;0.491;71.98546709180488;30.510955762967207;33.79134714506834;0.9654670612876669;-0.7470703125;15.613292180998736;
2019-12-13 17:24:02;2.9169444444444443;1576258711;132.91885683575308;65.26315870635476;-0.0061272009063991495;96.60018557789377;0.9562212985004984;0.0;0.007180878736898564;869;93.94079318448884;94.118;90.663;96.83;6.167000000000002;9.390070390729239;64.17311608961303;2.9169444444444443;175.01666666666668;10501;0.12153935185185186;0.491;65.26315870635476;34.01712288304876;37.67448050948113;1.076413728842318;-0.8203125;14.155256702546456;
2019-12-13 17:49:01;3.3338888888888887;1576260211;143.81753383773017;70.61440911432551;-0.006629600529709056;96.23312044735161;0.9665734070338924;0.0;0.006270997009211404;871;93.34890962441315;93.367;90.001;96.767;6.765999999999991;9.390070390729239;64.17311608961303;3.3338888888888887;200.03333333333333;12002;0.13891203703703703;0.491;70.61440911432551;36.938928816450066;40.910424979825116;1.1688692851378604;-0.88134765625;15.315916479148056;
2019-12-13 18:14:01;3.7505555555555556;1576261711;159.28696024382765;78.20989747971937;-0.0073426993762785815;96.38002018679663;0.9720611901766161;0.0;0.005733165620101211;871;93.18199882629108;93.165;89.305;96.431;7.125999999999991;9.390070390729239;64.17311608961303;3.7505555555555556;225.03333333333333;13502;0.15627314814814816;0.491;78.20989747971937;39.101065207167025;43.30502388787967;1.237286396796562;-0.92529296875;16.96334038146197;
2019-12-13 18:39:02;4.167222222222223;1576263211;144.22264312637503;70.81331777505014;-0.006648274975605343;96.08247968781107;0.963977746562732;0.0;0.006517597137719424;870;93.19348352941176;93.306;89.807;96.264;6.456999999999994;9.390070390729239;64.17311608961303;4.167222222222223;250.03333333333333;15002;0.17363425925925927;0.491;70.81331777505014;40.09447922452347;44.40524500779662;1.2687212859370465;-0.947265625;15.359058784986873;
