AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1576424658
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.47600000000000003
Fish length - width - heigth, cm: 34.5;4.4;7.2;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.524
Salinity: 2
Temperature: 10

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-12-15 15:54:49;0.41694444444444445;1576426159;207.07339361451528;98.56693536050928;-0.007744362756052175;102.04322769307058;0.9689720209942954;0.0;0.006041813031912995;870;98.67849295774649;98.798;94.588;102.365;7.777000000000001;11.215063744947914;66.22689075630252;0.41694444444444445;25.016666666666666;1501;0.017372685185185185;0.47600000000000003;98.56693536050928;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;18.46386238400083;
2019-12-15 16:19:49;0.8336111111111111;1576427659;217.38444186382893;103.47499432718257;-0.008129986889814592;100.37170369197254;0.9741634197649595;0.0;0.005513254641961182;870;96.83840375586854;96.83;92.883;100.657;7.774000000000001;11.215063744947914;66.22689075630252;0.8336111111111111;50.016666666666666;3001;0.0347337962962963;0.47600000000000003;103.47499432718257;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;19.38325512966922;
2019-12-15 16:44:49;1.2502777777777778;1576429159;219.59767829682355;104.52849486928801;-0.008212759985396003;99.14676481234335;0.9733306277904518;0.0;0.0056014044677413916;870;95.58017136150237;95.453;91.865;99.891;8.02600000000001;11.215063744947914;66.22689075630252;1.2502777777777778;75.01666666666667;4501;0.05209490740740741;0.47600000000000003;104.52849486928801;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;19.580600100979936;
2019-12-15 17:09:49;1.6669444444444443;1576430659;167.74907289531623;79.84855869817054;-0.006273667755265418;98.66490038870083;0.9667799694837426;0.0;0.0062479167401120065;870;95.93609026963657;95.847;92.843;98.895;6.0519999999999925;11.215063744947914;66.22689075630252;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.47600000000000003;79.84855869817054;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;14.957478326494819;
2019-12-15 17:34:49;2.0836111111111113;1576432159;224.10516183495145;106.6740570334369;-0.008381335904430678;98.90441064466363;0.9704706498855691;0.0;0.005894099753086173;870;95.25207629107982;95.391;91.193;98.852;7.659000000000006;11.215063744947914;66.22689075630252;2.0836111111111113;125.01666666666667;7501;0.08681712962962963;0.47600000000000003;106.6740570334369;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;19.982513424045834;
2019-12-15 17:59:49;2.5005555555555556;1576433659;246.51610600752213;117.34166645958054;-0.009219485501288663;97.65975249261602;0.9819538532220986;0.0;0.004607684984368843;871;93.65615845070423;93.448;89.769;98.037;8.268;11.215063744947914;66.22689075630252;2.5005555555555556;150.03333333333333;9002;0.10418981481481482;0.47600000000000003;117.34166645958054;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;21.980802928433736;
2019-12-15 18:24:49;2.917222222222222;1576435159;168.24171675568346;80.08305717570533;-0.006292092202258006;96.97584094941898;0.9603960749578936;0.0;0.006829914543844224;871;94.24102115158637;94.22;90.761;97.315;6.554000000000002;11.215063744947914;66.22689075630252;2.917222222222222;175.03333333333333;10502;0.12155092592592592;0.47600000000000003;80.08305717570533;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;15.001405304670858;
2019-12-15 18:49:49;3.3336111111111113;1576436659;152.41015182818367;72.54723227021543;-0.005700005601201031;97.06576812252071;0.9582503574430252;0.0;0.007012494532789916;870;94.58771915393655;94.588;91.647;97.358;5.7109999999999985;11.215063744947914;66.22689075630252;3.3336111111111113;200.01666666666668;12001;0.13890046296296296;0.47600000000000003;72.54723227021543;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;13.589771337397915;
2019-12-15 19:14:49;3.7505555555555556;1576438159;162.79569399285296;77.49075034059801;-0.006088415741864493;97.39594133958786;0.9623252709826956;0.0;0.006661487595238232;871;94.75266745005874;94.772;91.746;97.782;6.036000000000001;11.215063744947914;66.22689075630252;3.7505555555555556;225.03333333333333;13502;0.15627314814814816;0.47600000000000003;77.49075034059801;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;14.515806391754845;
2019-12-15 19:39:49;4.167222222222223;1576439659;153.99722098552292;73.30267718910892;-0.005759360591520345;97.57209825663374;0.951333577672891;0.0;0.007566677903973529;871;95.06605985915492;95.164;92.044;97.952;5.908000000000001;11.215063744947914;66.22689075630252;4.167222222222223;250.03333333333333;15002;0.17363425925925927;0.47600000000000003;73.30267718910892;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;13.731283609947784;
2019-12-15 20:04:49;4.583888888888889;1576441159;153.16611763958355;72.90707199644177;-0.005728278057514529;97.5930542907313;0.9514473131190007;0.0;0.007557830912060241;871;95.09926995305166;95.06;91.806;97.824;6.018000000000001;11.215063744947914;66.22689075630252;4.583888888888889;275.03333333333336;16502;0.19099537037037037;0.47600000000000003;72.90707199644177;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;13.657177624922621;
2019-12-15 20:29:49;5.000555555555556;1576442659;141.00632284040978;67.11900967203506;-0.005273512429153486;97.65621552820706;0.9369159123819196;0.0;0.008619976225448836;871;95.36053349001176;95.453;92.263;97.888;5.625;11.215063744947914;66.22689075630252;5.000555555555556;300.03333333333336;18002;0.20835648148148148;0.47600000000000003;67.11900967203506;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;12.572939935711855;
2019-12-15 20:54:49;5.417222222222223;1576444159;150.54530924584503;71.65956720102224;-0.0056302621291475985;97.80101553620932;0.9602015790786439;0.0;0.006846664945300811;871;95.3486956521739;95.474;92.423;98.187;5.763999999999996;11.215063744947914;66.22689075630252;5.417222222222223;325.03333333333336;19502;0.22571759259259258;0.47600000000000003;71.65956720102224;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;13.423491178430588;
2019-12-15 21:19:49;5.833888888888889;1576445659;151.40373754207536;72.06817907002788;-0.005662366592256186;97.41014478227517;0.9542111471318286;0.0;0.007339566653995104;871;94.94193779342721;95.02950000000001;92.163;97.739;5.576000000000008;11.215063744947914;66.22689075630252;5.833888888888889;350.03333333333336;21002;0.2430787037037037;0.47600000000000003;72.06817907002788;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;13.50003361418955;
2019-12-15 21:44:50;6.250555555555556;1576447159;166.0811308001396;79.05461826086645;-0.0062112881882159495;97.45735398744593;0.9677771802649524;0.0;0.006167938939513539;870;94.75891872791517;94.916;91.726;98.123;6.397000000000006;11.215063744947914;66.22689075630252;6.250555555555556;375.03333333333336;22502;0.2604398148148148;0.47600000000000003;79.05461826086645;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;14.808754954688037;
2019-12-15 22:09:50;6.667222222222223;1576448659;157.66853232660435;75.05022138746368;-0.005896664405976931;97.29643818442416;0.9643211567955643;0.0;0.006486455700334398;870;94.72929411764706;94.793;91.529;97.379;5.8500000000000085;11.215063744947914;66.22689075630252;6.667222222222223;400.03333333333336;24002;0.2778009259259259;0.47600000000000003;75.05022138746368;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;14.058638979883623;
2019-12-15 22:34:50;7.083888888888889;1576450160;154.65625854726204;73.61637906849674;-0.00578400801656556;97.14838144811634;0.9598251315144882;0.0;0.006883024346712943;870;94.62998352941177;94.649;91.845;97.633;5.787999999999997;11.215063744947914;66.22689075630252;7.083888888888889;425.03333333333336;25502;0.29516203703703703;0.47600000000000003;73.61637906849674;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;13.790047213679953;
2019-12-15 22:59:50;7.500555555555556;1576451659;152.66497772766073;72.66852939836652;-0.005709535865667848;97.26035402796714;0.9560512039384644;0.0;0.007211824286564307;870;94.77902479338843;94.793;91.568;97.379;5.811000000000007;11.215063744947914;66.22689075630252;7.500555555555556;450.03333333333336;27002;0.31252314814814813;0.47600000000000003;72.66852939836652;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;13.612493089611926;
2019-12-15 23:24:50;7.917222222222223;1576453159;156.61783773491632;74.55009076182017;-0.00585736935255736;97.4406555701717;0.9642265953194561;0.0;0.006491219464030225;870;94.89567332549942;94.896;91.905;97.803;5.897999999999996;11.215063744947914;66.22689075630252;7.917222222222223;475.03333333333336;28502;0.32988425925925924;0.47600000000000003;74.55009076182017;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;13.964952968320707;
2019-12-15 23:49:50;8.33388888888889;1576454660;140.74763278292036;66.9958732046701;-0.005263837648576358;97.35547226304428;0.9019082609787105;0.0;0.012829008330097353;870;95.74916555183947;95.816;93.731;97.739;4.00800000000001;11.215063744947914;66.22689075630252;8.33388888888889;500.03333333333336;30002;0.34724537037037034;0.47600000000000003;66.9958732046701;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;12.549873632802436;
2019-12-16 00:14:50;8.750555555555556;1576456159;158.72520766912012;75.55319885050119;-0.005936183134216117;97.46137703895502;0.9498850284091841;0.0;0.007682983475792477;870;94.88360869565217;94.999;91.529;97.506;5.977000000000004;11.215063744947914;66.22689075630252;8.750555555555556;525.0333333333333;31502;0.3646064814814815;0.47600000000000003;75.55319885050119;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;14.152858269808906;
2019-12-16 00:39:50;9.167222222222222;1576457660;158.2398367490502;75.3221622925479;-0.005918030688792549;97.48969730119637;0.9548434962856628;0.0;0.007293001608052046;870;94.91426909518215;94.957;91.965;97.803;5.837999999999994;11.215063744947914;66.22689075630252;9.167222222222222;550.0333333333333;33002;0.3819675925925926;0.47600000000000003;75.3221622925479;15.668181621288607;17.267880404708198;0.5005182726002376;-0.43701171875;14.10957978908796;
