AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1577179947
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.47000000000000003
Fish length - width - heigth, cm: 34;3.8;6.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.53
Salinity: 30
Temperature: 10

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-12-24 09:42:58;0.41694444444444445;1577181448;145.81102450262742;68.5311815162349;-0.006429732424253596;98.12134550658999;0.9489876281575078;0.0;0.007751467192134199;870;95.3274794359577;95.391;91.965;98.465;6.5;9.390070390729239;67.08510638297872;0.41694444444444445;25.016666666666666;1501;0.017372685185185185;0.47000000000000003;68.5311815162349;15.083820434608345;16.307320287971994;0.4796270672932939;-0.4248046875;15.528214213025047;
2019-12-24 10:07:58;0.8338888888888889;1577182948;150.6188843462921;70.7908756427573;-0.0066417414436917704;98.7945868034375;0.9441168239524876;0.0;0.008113097500778639;871;95.9101198589894;95.826;92.463;99.5;7.037000000000006;9.390070390729239;67.08510638297872;0.8338888888888889;50.03333333333333;3002;0.03474537037037037;0.47000000000000003;70.7908756427573;15.083820434608345;16.307320287971994;0.4796270672932939;-0.4248046875;16.04022952745884;
2019-12-24 10:32:58;1.2505555555555556;1577184448;151.53766355015995;71.22270186857519;-0.006682256243296191;99.64408272305569;0.9460015149954718;0.0;0.007975114785112642;870;96.73963337250294;96.851;93.549;100.306;6.756999999999991;9.390070390729239;67.08510638297872;1.2505555555555556;75.03333333333333;4502;0.05210648148148148;0.47000000000000003;71.22270186857519;14.850075959936241;16.054616005887326;0.47219458840845074;-0.419921875;16.13807535455455;
2019-12-24 10:57:58;1.6672222222222222;1577185948;154.52199069098972;72.62533562476517;-0.006813854145769109;100.30101096274147;0.9448138822644142;0.0;0.008067091732948959;871;97.34291647058825;97.47399999999999;93.731;100.723;6.992000000000004;9.390070390729239;67.08510638297872;1.6672222222222222;100.03333333333333;6002;0.0694675925925926;0.47000000000000003;72.62533562476517;14.850075959936241;16.054616005887326;0.47219458840845074;-0.419921875;16.455892688892767;
2019-12-24 11:22:58;2.0838888888888887;1577187448;149.63647672302977;70.329144059824;-0.006598420863710455;100.05456399446177;0.9463392545365905;0.0;0.007945457115892184;871;97.19005164319249;97.4;92.964;100.284;7.320000000000007;9.390070390729239;67.08510638297872;2.0838888888888887;125.03333333333333;7502;0.0868287037037037;0.47000000000000003;70.329144059824;14.966948197272295;16.18096814692966;0.4759108278508724;-0.42236328125;15.935607561660559;
2019-12-24 11:47:58;2.500277777777778;1577188948;156.1264622904509;73.37943727651192;-0.006884605469971373;99.4628522585863;0.9510112184846822;0.0;0.007587235052420546;870;96.46935638921454;96.557;92.763;99.826;7.062999999999988;9.390070390729239;67.08510638297872;2.500277777777778;150.01666666666668;9001;0.10417824074074074;0.47000000000000003;73.37943727651192;14.73320372260019;15.928263864844993;0.4684783489660292;-0.41748046875;16.6267616528832;
2019-12-24 12:12:58;2.917222222222222;1577190448;149.17913409519704;70.11419302474262;-0.006578253727972948;98.88005208049503;0.9500265047921386;0.0;0.007663110407257664;871;96.02393317702229;96.097;92.363;99.695;7.331999999999994;9.390070390729239;67.08510638297872;2.917222222222222;175.03333333333333;10502;0.12155092592592592;0.47000000000000003;70.11419302474262;14.850075959936241;16.054616005887326;0.47219458840845074;-0.419921875;15.886902641590495;
2019-12-24 12:37:59;3.3338888888888887;1577191948;160.73878321972742;75.5472281132719;-0.0070879919390754165;98.58234569823522;0.9489542596447116;0.0;0.00775400199534425;870;95.50447473560517;95.432;91.687;99.132;7.445000000000007;9.390070390729239;67.08510638297872;3.3338888888888887;200.03333333333333;12002;0.13891203703703703;0.47000000000000003;75.5472281132719;14.966948197272295;16.18096814692966;0.4759108278508724;-0.42236328125;17.11795295788452;
2019-12-24 13:02:59;3.7505555555555556;1577193448;155.86485270848203;73.25648077298656;-0.006873069445055436;98.28823602783146;0.9462535564352081;0.0;0.007951799172277034;870;95.30042723004696;95.38050000000001;91.627;98.594;6.966999999999999;9.390070390729239;67.08510638297872;3.7505555555555556;225.03333333333333;13502;0.15627314814814816;0.47000000000000003;73.25648077298656;14.966948197272295;16.18096814692966;0.4759108278508724;-0.42236328125;16.5989014163692;
2019-12-24 13:27:59;4.167222222222223;1577194948;158.08965751863082;74.30213903375649;-0.006971175193055246;98.23274555882819;0.9545604241613445;0.0;0.00731151998671038;870;95.20149530516431;95.287;91.647;98.529;6.881999999999991;9.390070390729239;67.08510638297872;4.167222222222223;250.03333333333333;15002;0.17363425925925927;0.47000000000000003;74.30213903375649;14.966948197272295;16.18096814692966;0.4759108278508724;-0.42236328125;16.835833059857762;
