AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1577292737
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.495
Fish length - width - heigth, cm: 35.2;4.4;7.2;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.505
Salinity: 0.8
Temperature: 10

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-12-25 17:02:47;0.41694444444444445;1577294237;315.16445411289993;156.00640478588548;-0.01217174938644584;101.95517040830339;0.9851320300197655;0.0;0.004182311488699906;871;96.66674530516431;96.683;90.624;102.052;11.428000000000011;11.300754545020327;63.64646464646464;0.41694444444444445;25.016666666666666;1501;0.017372685185185185;0.495;156.00640478588548;9.590825279813906;10.58990274921756;0.3008495099209534;-0.31005859375;27.888797412361903;
2019-12-25 17:27:47;0.8336111111111111;1577295737;250.0902126492486;123.79465526137805;-0.009658561911550947;99.47029327296443;0.9719903634586329;0.0;0.005737054250263514;871;95.27599765533412;95.329;90.605;99.717;9.111999999999995;11.300754545020327;63.64646464646464;0.8336111111111111;50.016666666666666;3001;0.0347337962962963;0.495;123.79465526137805;8.889591855797594;9.815621751683041;0.27885289067281366;-0.29052734375;22.130399492611822;
2019-12-25 17:52:47;1.2502777777777778;1577297237;217.7697839345339;107.79604304759428;-0.008410336887300368;99.31372685120272;0.9702003524775731;0.0;0.005924500199822729;871;95.65963807285549;95.702;91.568;99.543;7.9750000000000085;11.300754545020327;63.64646464646464;1.2502777777777778;75.01666666666667;4501;0.05209490740740741;0.495;107.79604304759428;11.577653314526788;12.783698908898693;0.3631732644573492;-0.31494140625;19.270375537047133;
2019-12-25 18:17:47;1.6669444444444443;1577298737;225.84357188978157;111.79256808544187;-0.00872214909298577;99.20970692313821;0.9702269743386739;0.0;0.005921853247999606;871;95.41504935370152;95.432;91.213;99.522;8.309000000000012;11.300754545020327;63.64646464646464;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.495;111.79256808544187;15.31756490928045;16.91319756241612;0.48048856711409427;-0.4296875;19.984822339964854;
2019-12-25 18:42:47;2.0836111111111113;1577300237;178.72697455084767;88.4698524026696;-0.006902491427701777;98.99133250454241;0.9551854614063873;0.0;0.00725679215803559;871;95.990796014068;96.076;92.303;99.717;7.4140000000000015;11.300754545020327;63.64646464646464;2.0836111111111113;125.01666666666667;7501;0.08681712962962963;0.495;88.4698524026696;13.915098061247825;15.364635567347083;0.4364953286178148;-0.39794921875;15.81549035852687;
2019-12-25 19:07:47;2.500277777777778;1577301737;180.05510473775487;89.12727684518866;-0.006953784229211102;99.39857015443411;0.9542666500521415;0.0;0.007335116980330146;871;96.37354342723003;96.39;92.863;100.065;7.201999999999998;11.300754545020327;63.64646464646464;2.500277777777778;150.01666666666668;9001;0.10417824074074074;0.495;89.12727684518866;15.083820434608345;16.65510389657128;0.4731563606980477;-0.4248046875;15.9330161557306;
2019-12-25 19:32:47;2.9169444444444443;1577303237;229.62713413116222;113.66543139492529;-0.008868271445266043;99.72537776562078;0.9611882831132029;0.0;0.006757280769379932;871;95.86318309859155;96.076;91.233;100.022;8.789000000000001;11.300754545020327;63.64646464646464;2.9169444444444443;175.01666666666668;10501;0.12153935185185186;0.495;113.66543139492529;14.966948197272295;16.526057063648864;0.4694902574900245;-0.419921875;20.319628500589577;
2019-12-25 19:57:47;3.3333333333333335;1577304737;181.10144160061932;89.64521359230656;-0.006994194084771856;99.02882918091773;0.945226634248325;0.0;0.008022688578221136;870;95.98579718640094;95.972;92.423;99.283;6.859999999999999;11.300754545020327;63.64646464646464;3.3333333333333335;200.0;12000;0.1388888888888889;0.495;89.64521359230656;15.31756490928045;16.91319756241612;0.48048856711409427;-0.4296875;16.025606155689985;
2019-12-25 20:22:47;3.750277777777778;1577306237;151.96537666484542;75.22286144909849;-0.005868950181541536;99.35603600989522;0.9283505659632886;0.0;0.009181146541031561;871;96.79932981220657;96.94550000000001;93.347;99.543;6.196000000000012;11.300754545020327;63.64646464646464;3.750277777777778;225.01666666666668;13501;0.15626157407407407;0.495;75.22286144909849;14.966948197272295;16.526057063648864;0.4694902574900245;-0.42236328125;13.447365488688444;
2019-12-25 20:47:47;4.166944444444445;1577307737;192.4522131456014;95.26384550707269;-0.0074325644174199346;99.61499747448536;0.9579090268267176;0.0;0.007036959000062988;871;96.38096830985916;96.452;92.683;100.262;7.5789999999999935;11.300754545020327;63.64646464646464;4.166944444444445;250.01666666666668;15001;0.17362268518518517;0.495;95.26384550707269;14.265714773255981;15.751776066114342;0.4474936382418847;-0.4052734375;17.030032143332004;
