AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1577713009
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.782
Fish length - width - heigth, cm: 35.1;4.1;7.2;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.218
Salinity: 1.5
Temperature: 15

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-12-30 13:47:19;0.4166666666666667;1577714509;182.20183165686063;142.48183235566503;-0.012634263821748024;99.4313977966717;0.9895871955957017;0.0;0.0034979941212451853;870;93.94199531066823;93.866;88.047;99.705;11.658000000000001;10.034644084298918;39.92071611253197;0.4166666666666667;25.0;1500;0.017361111111111112;0.782;142.48183235566503;15.901926095960711;17.427150289741814;0.4965000082547525;-0.44189453125;18.157278935478097;
2019-12-30 14:12:19;0.8333333333333334;1577716009;201.00104901333066;157.18282032842458;-0.013937841670357885;97.24941071783113;0.9910848394717192;0.0;0.0032366802944034396;870;91.19236459554513;91.183;84.772;97.067;12.294999999999987;10.034644084298918;39.92071611253197;0.8333333333333334;50.0;3000;0.034722222222222224;0.782;157.18282032842458;16.135670570632815;17.683314232708586;0.5037981262879939;-0.44677734375;20.03071033957592;
2019-12-30 14:37:19;1.2502777777777778;1577717509;221.91701842512165;173.53910840844514;-0.015388199623585565;94.92020091011818;0.9936796134086144;0.0;0.002730070708744945;871;88.22535647058824;88.336;81.277;94.738;13.460999999999999;10.034644084298918;39.92071611253197;1.2502777777777778;75.01666666666667;4501;0.05209490740740741;0.782;173.53910840844514;16.01879833329676;17.555232261225196;0.5001490672713731;-0.4443359375;22.115086151620705;
2019-12-30 15:02:19;1.6666666666666667;1577719009;217.97199669632008;170.4541014165223;-0.01511464339832173;92.39128237272007;0.994587576857883;0.0;0.002524887463728999;870;85.8190411280846;85.736;79.024;92.209;13.185000000000002;10.034644084298918;39.92071611253197;1.6666666666666667;100.0;6000;0.06944444444444445;0.782;170.4541014165223;16.01879833329676;17.555232261225196;0.5001490672713731;-0.4443359375;21.721945976876064;
2019-12-30 15:27:20;2.0836111111111113;1577720509;231.4798720699988;181.01725995873906;-0.016051308302238596;90.16903522934399;0.9928366820563339;0.0;0.0029030041121054727;870;83.20208920187793;82.842;76.407;90.308;13.90100000000001;10.034644084298918;39.92071611253197;2.0836111111111113;125.01666666666667;7501;0.08681712962962963;0.782;181.01725995873906;16.01879833329676;17.555232261225196;0.5001490672713731;-0.4443359375;23.068069990862202;
2019-12-30 15:52:19;2.500277777777778;1577722009;196.91316994663634;153.98609889826963;-0.01365437941243018;89.20615031366057;0.9896896791912543;0.0;0.003480737797572144;871;83.27448300117234;83.203;77.219;88.916;11.697000000000003;10.034644084298918;39.92071611253197;2.500277777777778;150.01666666666668;9001;0.10417824074074074;0.782;153.98609889826963;15.901926095960711;17.427150289741814;0.4965000082547525;-0.44189453125;19.623333751791346;
2019-12-30 16:17:20;2.9169444444444443;1577723509;183.6549057688816;143.61813631126543;-0.012735023081503432;88.87473023739717;0.9922189523427593;0.0;0.003025586507505756;870;83.34937441314553;83.248;77.653;88.994;11.340999999999994;10.034644084298918;39.92071611253197;2.9169444444444443;175.01666666666668;10501;0.12153935185185186;0.782;143.61813631126543;15.901926095960711;17.427150289741814;0.4965000082547525;-0.44189453125;18.30208468043666;
2019-12-30 16:42:19;3.3336111111111113;1577725009;159.2408158033999;124.52631795825873;-0.011042097984171283;88.89524154284284;0.9875429838517124;0.0;0.0038282258443869954;871;84.08748356807513;84.257;78.7;88.664;9.963999999999999;10.034644084298918;39.92071611253197;3.3336111111111113;200.01666666666668;12001;0.13890046296296296;0.782;124.52631795825873;16.01879833329676;17.555232261225196;0.5001490672713731;-0.4443359375;15.869104520863077;
2019-12-30 17:07:19;3.750277777777778;1577726509;185.61705903680044;145.15254016677795;-0.01287108297629241;88.52627547500624;0.9942936096213744;0.0;0.0025895002622621497;871;82.92364243845252;82.968;77.236;88.49;11.25399999999999;10.034644084298918;39.92071611253197;3.750277777777778;225.01666666666668;13501;0.15626157407407407;0.782;145.15254016677795;26.186682981533284;28.698363780279784;0.8176172017173727;-0.654296875;18.497622584066846;
2019-12-30 17:32:19;4.166944444444445;1577728009;198.63303381221118;155.33103244114915;-0.013773638443020424;87.51898611340437;0.9951646866632617;0.0;0.0023892995759597687;870;81.53762544169612;81.471;75.556;87.759;12.203000000000003;10.034644084298918;39.92071611253197;4.166944444444445;250.01666666666668;15001;0.17362268518518517;0.782;155.33103244114915;26.06981074419723;28.570281808796395;0.8139681427007519;-0.654296875;19.794726364337105;
2019-12-30 17:57:20;4.583611111111111;1577729509;214.0752688751314;167.40686026035277;-0.0148444359756699;85.85592255875736;0.9950661320260598;0.0;0.0024135264176147913;870;79.40324381625443;79.434;72.466;85.755;13.289000000000001;10.034644084298918;39.92071611253197;4.583611111111111;275.01666666666665;16501;0.1909837962962963;0.782;167.40686026035277;26.06981074419723;28.570281808796395;0.8139681427007519;-0.654296875;21.333618519673486;
