AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1572347356
Flush time ,s: 540
Wait time, s: 60
Measurement time, s: 600
Mass of fish, kg: 0.602
Fish length - width - heigth, cm: 41;4.6;7.6;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.398
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-10-29 12:19:17;0.33361111111111114;1572348557;189.704794771039;114.20228645216547;-0.009352351801199314;103.89758661864768;0.9727690168630346;0.0;0.006816836106284271;600;101.09070408163265;101.145;97.925;104.026;6.100999999999999;10.803126912819913;52.15614617940199;0.33361111111111114;20.016666666666666;1201;0.013900462962962963;0.602;114.20228645216547;19.291220978706217;21.871232408868654;0.5334446928992355;-0.5126953125;17.56017459592362;
2019-10-29 12:39:17;0.6669444444444445;1572349756;181.45161636656613;109.2338730526728;-0.008945474220641321;103.47680693539448;0.9755396804926373;0.0;0.006477341362592513;600;100.78989230769231;100.857;97.818;103.593;5.775000000000006;10.803126912819913;52.15614617940199;0.6669444444444445;40.016666666666666;2401;0.027789351851851853;0.602;109.2338730526728;20.810560064074892;23.593768182040062;0.5754577605375625;-0.54443359375;16.79621259945027;
2019-10-29 12:59:17;1.0002777777777778;1572350957;189.96537829427308;114.35915773315239;-0.009365198438975776;103.23764708041396;0.976578746688492;0.0;0.006327426842486782;600;100.43523509369675;100.593;97.393;103.433;6.040000000000006;10.803126912819913;52.15614617940199;1.0002777777777778;60.016666666666666;3601;0.04167824074074074;0.602;114.35915773315239;23.732365997476194;26.90633697660047;0.6562521213804993;-0.60546875;17.5842957161638;
2019-10-29 13:19:17;1.333611111111111;1572352157;276.18213660742447;166.26164623766954;-0.013615641638773405;102.59805641209068;0.9898363714161572;0.0;0.004171747068372018;600;98.5248651877133;98.676;94.245;102.417;8.171999999999997;10.803126912819913;52.15614617940199;1.333611111111111;80.01666666666667;4801;0.05556712962962963;0.602;166.26164623766954;27.589149829565905;31.278927785420198;0.7629006776931756;-0.68603515625;25.565018242975853;
2019-10-29 13:39:17;1.6669444444444443;1572353357;279.94432920268275;168.526486180015;-0.013801115858005386;100.75434154058621;0.9898751664430716;0.0;0.004167347045933346;600;96.62313675213676;96.737;92.162;101.3;9.137999999999991;10.803126912819913;52.15614617940199;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.602;168.526486180015;32.38091156034404;36.71154060849926;0.8954034294755918;-0.7861328125;25.913268580643713;
2019-10-29 13:59:17;2.000277777777778;1572354557;226.87132650439503;136.5765385556458;-0.01118464328555693;98.81951341932682;0.985607543436632;0.0;0.00496433453778322;600;95.47129692832763;95.544;91.844;99.281;7.437000000000012;10.803126912819913;52.15614617940199;2.000277777777778;120.01666666666667;7201;0.08334490740740741;0.602;136.5765385556458;37.640162240466374;42.67416443870798;1.0408332789928776;-0.89599609375;21.000524045975073;
2019-10-29 14:19:17;2.3336111111111113;1572355757;444.50951079746;267.5947255000709;-0.02191409726345781;97.99797269902405;0.9944840766298779;0.0;0.0030785599821643297;600;91.44393150684931;91.8535;84.431;97.776;13.344999999999999;10.803126912819913;52.15614617940199;2.3336111111111113;140.01666666666668;8401;0.09723379629629629;0.602;267.5947255000709;42.899412920588716;48.63678826891672;1.186263128510164;-1.005859375;41.146374969451394;
2019-10-29 14:39:17;2.6669444444444443;1572356957;440.8489161056137;265.3910474955794;-0.021733631770210426;95.24785479150651;0.9958863729975295;0.0;0.002649498311217475;600;88.73109183673469;88.9405;81.964;95.192;13.227999999999994;10.803126912819913;52.15614617940199;2.6669444444444443;160.01666666666668;9601;0.11112268518518519;0.602;265.3910474955794;47.92491912603895;54.33440659556061;1.3252294291600148;-1.11083984375;40.80752912219005;
2019-10-29 14:59:17;3.0005555555555556;1572358157;127.36462927545422;76.67350682382344;-0.006279012723168258;96.90659915331607;0.5297055516653411;1.8029762443847332e-143;0.02842650281745339;601;95.0259058219178;95.47149999999999;89.008;96.674;7.666000000000011;10.803126912819913;52.15614617940199;3.0005555555555556;180.03333333333333;10802;0.12502314814814816;0.602;76.67350682382344;2.3447465649786814;2.6583334004183126;0.06483740001020274;-0.15869140625;11.789607796267994;
2019-10-29 15:19:17;3.3336111111111113;1572359357;408.74210143692255;246.06274506502737;-0.0201507818145205;95.18209044299569;0.9960189429805798;0.0;0.0026109152529163594;600;89.16295563139931;89.066;83.152;95.005;11.852999999999994;10.803126912819913;52.15614617940199;3.3336111111111113;200.01666666666668;12001;0.13890046296296296;0.602;246.06274506502737;8.305230669117332;9.415973741321537;0.2296578961297936;-0.283203125;37.83553639010519;
