AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1571920729
Flush time ,s: 540
Wait time, s: 60
Measurement time, s: 600
Mass of fish, kg: 0.444
Fish length - width - heigth, cm: 35.5;4.5;6.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.556
Salinity: 32
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-10-24 14:48:50;0.3338888888888889;1571921930;366.6275967351056;162.7826529503869;-0.016139034700045584;101.10807621789132;0.9929276733958843;0.0;0.003476988235027924;601;96.28599659284497;96.4;91.17;101.411;10.241;8.878633284006254;71.07207207207207;0.3338888888888889;20.033333333333335;1202;0.013912037037037037;0.444;162.7826529503869;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;41.293246945511235;
2019-10-24 15:08:50;0.6672222222222223;1571923130;322.7931996186312;143.32018063067227;-0.014209434030542522;98.09388644786036;0.9921301099461936;0.0;0.003677247320860261;601;93.82991267123288;93.898;89.278;98.032;8.75399999999999;8.878633284006254;71.07207207207207;0.6672222222222223;40.03333333333333;2402;0.027800925925925927;0.444;143.32018063067227;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;36.35618110279459;
2019-10-24 15:28:50;1.0002777777777778;1571924330;313.4876873812157;139.18853319725977;-0.013799803151037682;97.18112334924275;0.9895061012305643;0.0;0.004242620223714174;600;93.02995384615384;93.026;88.433;97.159;8.725999999999999;8.878633284006254;71.07207207207207;1.0002777777777778;60.016666666666666;3601;0.04167824074074074;0.444;139.18853319725977;8.422102906453386;9.284353188422077;0.26153107573019935;-0.28564453125;35.30810174871447;
2019-10-24 15:48:50;1.333611111111111;1571925530;303.1191280921059;134.584892872895;-0.013343376685472603;96.29735104267091;0.9873235321174275;0.0;0.004662993959150557;600;92.30398632478632;92.322;87.504;96.002;8.49799999999999;8.878633284006254;71.07207207207207;1.333611111111111;80.01666666666667;4801;0.05556712962962963;0.444;134.584892872895;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;34.140291461089745;
2019-10-24 16:08:50;1.6669444444444443;1571926730;301.1224509736665;133.69836823230793;-0.013255482480054774;96.17483661878019;0.98482756992622;0.0;0.005088370947291037;600;92.20509013605441;92.352;87.692;96.107;8.415000000000006;8.878633284006254;71.07207207207207;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.444;133.69836823230793;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;33.9154058222115;
2019-10-24 16:28:50;2.0005555555555556;1571927930;295.9876406134066;131.41851243235254;-0.013029446897026191;96.10580869659246;0.988748742545171;0.0;0.004389288302927261;601;92.20669112627986;92.242;88.129;96.002;7.8729999999999905;8.878633284006254;71.07207207207207;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.444;131.41851243235254;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;33.33707240128852;
2019-10-24 16:48:50;2.3338888888888887;1571929130;294.8136623005112;130.897266061427;-0.01297776809025429;95.95044907077904;0.9870544927019758;0.0;0.004704154791704344;601;92.05577001703578;92.123;87.92;95.773;7.852999999999994;8.878633284006254;71.07207207207207;2.3338888888888887;140.03333333333333;8402;0.09724537037037037;0.444;130.897266061427;8.422102906453386;9.284353188422077;0.26153107573019935;-0.283203125;33.20484728562685;
2019-10-24 17:08:51;2.667222222222222;1571930330;299.1952754184872;132.84270228580831;-0.013170647750113292;95.72270871926297;0.9851346307873539;0.0;0.005040921299027079;599;91.7905860306644;91.923;87.372;95.503;8.131;8.878633284006254;71.07207207207207;2.667222222222222;160.03333333333333;9602;0.11113425925925927;0.444;132.84270228580831;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;33.698348140749324;
2019-10-24 17:28:51;3.0005555555555556;1571931530;293.91321844592215;130.49746898998944;-0.012938130335911553;95.77080301048676;0.9876079538519005;0.0;0.004614344537656296;600;91.90172602739727;92.013;87.522;95.586;8.063999999999993;8.878633284006254;71.07207207207207;3.0005555555555556;180.03333333333333;10802;0.12502314814814816;0.444;130.49746898998944;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;33.103430341623636;
2019-10-24 17:48:51;3.3338888888888887;1571932730;256.42144343787055;113.85112088641452;-0.011287733412140346;95.7641548848264;0.9811059647856568;0.0;0.005692828267049576;600;92.39591452991453;92.543;88.644;95.523;6.878999999999991;8.878633284006254;71.07207207207207;3.3338888888888887;200.03333333333333;12002;0.13891203703703703;0.444;113.85112088641452;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;28.880733693527098;
2019-10-24 18:08:51;3.667222222222222;1571933930;255.1322263131869;113.27870848305498;-0.011230981765247287;96.24800701441485;0.9858703959846652;0.0;0.004918793289366662;600;92.89460068259386;93.0255;88.97;96.295;7.325000000000003;8.878633284006254;71.07207207207207;3.667222222222222;220.03333333333333;13202;0.15280092592592592;0.444;113.27870848305498;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;28.735529236552168;
2019-10-24 18:28:51;4.000555555555556;1571935130;255.0206791573423;113.22918154585999;-0.011226071432705768;96.57431947100721;0.9856878068070888;0.0;0.004950472717311749;600;93.21718771331058;93.349;89.567;96.632;7.065000000000012;8.878633284006254;71.07207207207207;4.000555555555556;240.03333333333333;14402;0.16668981481481482;0.444;113.22918154585999;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;28.722965686253776;
2019-10-24 18:48:51;4.333888888888889;1571936331;250.1880928100309;111.08351320765372;-0.011013339823179449;96.83303870176236;0.9825392601697586;0.0;0.005463279098969155;600;93.52400851788758;93.613;89.742;96.884;7.141999999999996;8.878633284006254;71.07207207207207;4.333888888888889;260.03333333333336;15602;0.1805787037037037;0.444;111.08351320765372;8.305230669117332;9.155515635449698;0.25790184888590695;-0.283203125;28.178671740020327;
