AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1572526901
Flush time ,s: 540
Wait time, s: 60
Measurement time, s: 600
Mass of fish, kg: 0.602
Fish length - width - heigth, cm: 41;4.6;7.6;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.398
Salinity: 35
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-10-31 13:11:43;0.3338888888888889;1572528103;164.76646221929283;99.18941025601428;-0.010069996260657443;102.72693992084386;0.9750727717782048;0.0;0.006533269470091321;600;99.71049488054608;99.76;96.086;102.89;6.804000000000002;8.714280054667721;52.15614617940199;0.3338888888888889;20.033333333333335;1202;0.013912037037037037;0.602;99.18941025601428;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;18.907639091887717;
2019-10-31 13:31:43;0.6675;1572529303;191.34800463228515;115.19149878863566;-0.01169457464327199;103.13062664735595;0.9840296414347173;0.0;0.005233871503786866;600;99.63676752136753;99.673;95.69;103.798;8.108000000000004;8.714280054667721;52.15614617940199;0.6675;40.05;2403;0.0278125;0.602;115.19149878863566;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;21.957982005615186;
2019-10-31 13:51:43;1.0005555555555556;1572530503;178.82367492191386;107.65185230299214;-0.010929127891233199;102.55199103662278;0.9855044134218949;0.0;0.00498635988152729;600;99.2747846153846;99.259;95.752;102.845;7.0930000000000035;8.714280054667721;52.15614617940199;1.0005555555555556;60.03333333333333;3602;0.04168981481481481;0.602;107.65185230299214;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;20.520762908707376;
2019-10-31 14:11:43;1.3341666666666667;1572531703;174.26067180601967;104.90492442722383;-0.010650251815996072;102.3764908079349;0.9823630907859142;0.0;0.005500180757061805;601;99.20462735042734;99.281;95.586;102.439;6.852999999999994;8.714280054667721;52.15614617940199;1.3341666666666667;80.05;4803;0.05559027777777778;0.602;104.90492442722383;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;19.997139260251178;
2019-10-31 14:31:43;1.6672222222222222;1572532903;160.21450319614695;96.44913092408046;-0.009791795164849865;102.32037948228786;0.9773515689971748;0.0;0.0062328228454161675;600;99.37905811965811;99.455;95.982;102.349;6.367000000000004;8.714280054667721;52.15614617940199;1.6672222222222222;100.03333333333333;6002;0.0694675925925926;0.602;96.44913092408046;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;18.385282799160162;
2019-10-31 14:51:43;2.0008333333333335;1572534103;169.25533887845575;101.89171400483036;-0.010344341965259395;102.1833989399555;0.9784138559731206;0.0;0.00606412974397429;601;99.07730390492361;99.173;95.44;102.327;6.8870000000000005;8.714280054667721;52.15614617940199;2.0008333333333335;120.05;7203;0.08336805555555556;0.602;101.89171400483036;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;19.422756420112496;
2019-10-31 15:11:43;2.3341666666666665;1572535303;168.33848995221595;101.339770951234;-0.010288307107591974;101.44305788194224;0.9775102437370474;0.0;0.00622699300085337;601;98.35182817869416;98.289;94.861;101.611;6.75;8.714280054667721;52.15614617940199;2.3341666666666665;140.05;8403;0.09725694444444444;0.602;101.339770951234;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;19.317544179917313;
2019-10-31 15:31:44;2.6675;1572536503;176.71605688547592;106.3830662450565;-0.01080031705521745;101.18421154779642;0.9789482808007223;0.0;0.006029822144453675;600;97.95311359724613;97.925;94.327;101.567;7.239999999999995;8.714280054667721;52.15614617940199;2.6675;160.05;9603;0.11114583333333333;0.602;106.3830662450565;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;20.278904944169156;
2019-10-31 15:51:43;3.0008333333333335;1572537703;198.57548130989096;119.54243974855436;-0.01213629477331043;101.01412392040032;0.9828614004593131;0.0;0.005431247569029379;601;97.36463807890223;97.52;93.41;101.078;7.668000000000006;8.714280054667721;52.15614617940199;3.0008333333333335;180.05;10803;0.12503472222222223;0.602;119.54243974855436;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;22.787365113831278;
2019-10-31 16:11:44;3.3341666666666665;1572538903;165.31819327324897;99.52155235049588;-0.010103716288237037;100.49029010627362;0.9761965138420282;0.0;0.006378849420401528;600;97.46633560477002;97.393;93.898;100.725;6.826999999999998;8.714280054667721;52.15614617940199;3.3341666666666665;200.05;12003;0.13892361111111112;0.602;99.52155235049588;17.888754130673593;20.28119938747966;0.49466339969462586;-0.4833984375;18.97095253264185;
