AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1572800587
Flush time ,s: 270
Wait time, s: 30
Measurement time, s: 300
Mass of fish, kg: 0.35100000000000003
Fish length - width - heigth, cm: 34;3.8;6;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.649
Salinity: 1.2
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-03 17:08:08;0.16722222222222222;1572801188;189.47759878050724;66.50663717195805;-0.005426832604217049;100.36527240054997;0.48168232123990085;4.7380898924277836e-60;0.042131467381269425;301;99.55333333333333;99.564;97.499;101.1;3.600999999999999;10.756130683742185;90.16809116809117;0.16722222222222222;10.033333333333333;602;0.006967592592592593;0.35100000000000003;66.50663717195805;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;17.61577693239645;
2019-11-03 17:18:08;0.3338888888888889;1572801788;144.66318084382084;50.77677647618112;-0.004143301749049601;99.87724073105879;0.3725463135477547;2.1889308248699892e-38;0.046595278970364674;301;99.25336769759451;99.303;97.456;100.57;3.11399999999999;10.756130683742185;90.16809116809117;0.3338888888888889;20.033333333333335;1202;0.013912037037037037;0.35100000000000003;50.77677647618112;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;13.449369954427777;
2019-11-03 17:28:08;0.5005555555555555;1572802388;135.42024396947386;47.53250563328533;-0.0038785745648797615;100.10140660705083;0.3165179179195645;3.45983600912461e-30;0.048631161855260154;301;99.51946048109966;99.585;98.117;101.012;2.894999999999996;10.756130683742185;90.16809116809117;0.5005555555555555;30.033333333333335;1802;0.020856481481481483;0.35100000000000003;47.53250563328533;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;12.590051938859444;
2019-11-03 17:38:09;0.6672222222222223;1572802989;118.41835000346889;41.56484085121758;-0.00339162289828703;99.99827083446631;0.3079643986884666;4.7196876060917333e-29;0.048934515995861766;300;99.49129896907216;99.477;97.904;100.703;2.7990000000000066;10.756130683742185;90.16809116809117;0.6672222222222223;40.03333333333333;2402;0.027800925925925927;0.35100000000000003;41.56484085121758;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;11.0093818572191;
2019-11-03 17:48:09;0.8338888888888889;1572803588;167.87934792585182;58.92565112197399;-0.004808236566023214;100.27451169671168;0.3800651806340458;9.864160054443611e-40;0.04623533576903821;300;99.55676712328767;99.553;98.01;101.455;3.444999999999993;10.756130683742185;90.16809116809117;0.8338888888888889;50.03333333333333;3002;0.03474537037037037;0.35100000000000003;58.92565112197399;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;15.607782469545509;
2019-11-03 17:58:09;1.0005555555555556;1572804188;79.2887296453789;27.830344105527995;-0.0022709104715061407;100.03648461145247;0.17275804445455945;2.5385410902241027e-14;0.05331750051325451;300;99.69826621160409;99.651;98.182;101.012;2.8299999999999983;10.756130683742185;90.16809116809117;1.0005555555555556;60.03333333333333;3602;0.04168981481481481;0.35100000000000003;27.830344105527995;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;7.37149184745619;
2019-11-03 18:08:09;1.1672222222222222;1572804788;145.41064117326368;51.039135051815556;-0.0041647097788762725;100.25207628736658;0.3517731272129113;2.6762678733753166e-35;0.047278590065442605;300;99.62970890410959;99.694;97.797;101.256;3.459000000000003;10.756130683742185;90.16809116809117;1.1672222222222222;70.03333333333333;4202;0.04863425925925926;0.35100000000000003;51.039135051815556;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;13.518861517092835;
2019-11-03 18:18:09;1.333888888888889;1572805389;133.94140721712353;47.013433933210365;-0.003836219164792251;100.07258995284481;0.3269538208431888;1.6629107998318374e-31;0.04834217516672206;300;99.49615172413793;99.498;97.882;101.012;3.1299999999999955;10.756130683742185;90.16809116809117;1.333888888888889;80.03333333333333;4802;0.05557870370370371;0.35100000000000003;47.013433933210365;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;12.452564138103584;
2019-11-03 18:28:09;1.5005555555555556;1572805989;155.37068378058302;54.535110006984645;-0.004449975606122718;100.2229152461241;0.37580167580268053;6.585981041702708e-39;0.04647424870904649;300;99.5563058419244;99.52;97.882;101.056;3.1739999999999924;10.756130683742185;90.16809116809117;1.5005555555555556;90.03333333333333;5402;0.06252314814814815;0.35100000000000003;54.535110006984645;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;14.444849021351581;
2019-11-03 18:38:09;1.6672222222222222;1572806588;200.71440738993144;70.45075699386594;-0.00574866631818347;100.21807121043415;0.5040503353138932;6.611955110745249e-65;0.04142570222871591;300;99.36225085910654;99.346;97.541;101.034;3.493000000000009;10.756130683742185;90.16809116809117;1.6672222222222222;100.03333333333333;6002;0.0694675925925926;0.35100000000000003;70.45075699386594;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;18.660465672224475;
2019-11-03 18:48:09;1.833888888888889;1572807189;160.4547141722666;56.31960467446558;-0.004595587446614636;100.25184581986956;0.41034914750630147;2.983918822087808e-45;0.044937203234819374;300;99.56131972789115;99.498;98.053;100.879;2.8260000000000076;10.756130683742185;90.16809116809117;1.833888888888889;110.03333333333333;6602;0.07641203703703704;0.35100000000000003;56.31960467446558;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;14.917512522862218;
2019-11-03 18:58:09;2.0008333333333335;1572807789;159.48104346643703;55.9778462567194;-0.004567700519789645;99.98197493318962;0.3894326530863521;1.4407873069204485e-41;0.04572727921900413;301;99.2987619047619;99.346;97.478;101.034;3.5560000000000116;10.756130683742185;90.16809116809117;2.0008333333333335;120.05;7203;0.08336805555555556;0.35100000000000003;55.9778462567194;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;14.826990128289486;
2019-11-03 19:08:09;2.167222222222222;1572808389;154.8430731211587;54.349918665526715;-0.004434864296145579;100.10553818461561;0.45222607244191937;4.0973010035179388e-53;0.043461196627212685;300;99.43904794520547;99.477;97.861;101.1;3.23899999999999;10.756130683742185;90.16809116809117;2.167222222222222;130.03333333333333;7802;0.09030092592592592;0.35100000000000003;54.349918665526715;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;14.395796934226814;
2019-11-03 19:18:09;2.3338888888888887;1572808989;140.16196838642583;49.19685090363547;-0.004014382411462913;100.27154151795203;0.35683410414484273;1.0581009523599375e-35;0.04733916087981943;300;99.66839792387543;99.673;98.117;101.1;2.98299999999999;10.756130683742185;90.16809116809117;2.3338888888888887;140.03333333333333;8402;0.09724537037037037;0.35100000000000003;49.19685090363547;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;13.030891173373305;
2019-11-03 19:28:09;2.5005555555555556;1572809589;155.38500282220656;54.54013599059451;-0.0044503857181488575;100.182963195127;0.38614264321663905;1.333435592781918e-40;0.04608767621506169;300;99.51924398625431;99.498;98.032;101.189;3.1569999999999965;10.756130683742185;90.16809116809117;2.5005555555555556;150.03333333333333;9002;0.10418981481481482;0.35100000000000003;54.54013599059451;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;14.446180266019814;
2019-11-03 19:38:09;2.6675;1572810189;160.7934959354278;56.43851707333517;-0.004605290503492443;100.05989919764981;0.43367564630009703;1.1106420250819558e-49;0.04403937970414314;301;99.36894897959183;99.303;98.139;101.256;3.1170000000000044;10.756130683742185;90.16809116809117;2.6675;160.05;9603;0.11114583333333333;0.35100000000000003;56.43851707333517;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;14.949009143080238;
2019-11-03 19:48:10;2.8341666666666665;1572810790;175.13568090678584;61.47262399828183;-0.005016065378829762;100.02081191801312;0.4706434427299584;1.6851805128749374e-57;0.042577751492506935;300;99.2713537414966;99.27000000000001;97.882;101.078;3.195999999999998;10.756130683742185;90.16809116809117;2.8341666666666665;170.05;10203;0.11809027777777778;0.35100000000000003;61.47262399828183;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;16.2824054538034;
2019-11-03 19:58:09;3.0008333333333335;1572811389;146.92198561966737;51.56961695250325;-0.004207996232635099;99.88855080666461;0.35342121351709943;1.1513770924215564e-35;0.04713724884275254;301;99.25707849829352;99.259;97.499;100.879;3.3800000000000097;10.756130683742185;90.16809116809117;3.0008333333333335;180.05;10803;0.12503472222222223;0.35100000000000003;51.56961695250325;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;13.659371565812128;
2019-11-03 20:08:10;3.1675;1572811989;174.44236491649974;61.22927008569142;-0.00499620809836323;100.15052571626298;0.3715016379449688;5.796763864661212e-38;0.0467962580048656;300;99.40251211072665;99.411;97.435;101.544;4.108999999999995;10.756130683742185;90.16809116809117;3.1675;190.05;11403;0.13197916666666668;0.35100000000000003;61.22927008569142;16.077234451964788;17.246322468994663;0.5072447784998431;-0.445556640625;16.21794770308696;
2019-11-03 20:18:10;3.3341666666666665;1572812590;122.75615275147031;43.087409615766084;-0.0035158620143357095;100.04607690729084;0.26280905707774393;1.4161232431685697e-23;0.050418624874292994;300;99.52120205479451;99.52;98.032;101.211;3.179000000000002;10.756130683742185;90.16809116809117;3.3341666666666665;200.05;12003;0.13892361111111112;0.35100000000000003;43.087409615766084;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;11.412668399149831;
2019-11-03 20:28:10;3.5008333333333335;1572813189;171.15988089029028;60.077118192491895;-0.004902194391988945;100.33238337356009;0.43836808728571297;2.8125841703431126e-50;0.04400751944816136;300;99.60217465753425;99.585;97.882;101.322;3.4399999999999977;10.756130683742185;90.16809116809117;3.5008333333333335;210.05;12603;0.14586805555555554;0.35100000000000003;60.077118192491895;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;15.912774390980319;
