AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1573035902
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.35100000000000003
Fish length - width - heigth, cm: 34;3.8;6;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.649
Salinity: 34
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-06 10:30:33;0.3338888888888889;1573037103;106.67419672539373;37.4426430506132;-0.003747724200018097;101.76028883023241;0.8173944349657271;0.0;0.014922791744724927;870;100.13188442822386;100.088;97.563;102.687;5.123999999999995;8.768723613120123;90.16809116809117;0.3338888888888889;20.033333333333335;1202;0.013912037037037037;0.35100000000000003;37.4426430506132;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;12.16530494424336;
2019-11-06 10:50:33;0.6672222222222223;1573038303;119.09167525876381;41.8011780158261;-0.00418398044783888;101.94939677842027;0.8579827837359556;0.0;0.013816054255597293;870;100.07359383378014;99.956;97.605;102.687;5.081999999999994;8.768723613120123;90.16809116809117;0.6672222222222223;40.03333333333333;2402;0.027800925925925927;0.35100000000000003;41.8011780158261;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;13.581415096784893;
2019-11-06 11:10:33;1.0005555555555556;1573039503;123.71626481840896;43.42440895126155;-0.00434645353636327;102.40261157685902;0.8332293266098685;0.0;0.014200612815690405;871;100.54081423401688;100.57;97.84;103.184;5.343999999999994;8.768723613120123;90.16809116809117;1.0005555555555556;60.03333333333333;3602;0.04168981481481481;0.35100000000000003;43.42440895126155;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;14.108811074088322;
2019-11-06 11:30:34;1.333888888888889;1573040704;168.84239218867762;59.263679658225854;-0.005931844238052949;103.53695152154901;0.9117915005772789;0.0;0.01025966564601035;870;100.94234166666668;101.123;97.414;104.072;6.658000000000001;8.768723613120123;90.16809116809117;1.333888888888889;80.03333333333333;4802;0.05557870370370371;0.35100000000000003;59.263679658225854;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;19.25507059386029;
2019-11-06 11:50:34;1.6672222222222222;1573041903;180.1579543281388;63.235441969176726;-0.0063293874806426755;103.47185511630155;0.9054075066311764;0.0;0.010649894639756675;870;100.71567942583731;100.835;96.969;104.416;7.447000000000003;8.768723613120123;90.16809116809117;1.6672222222222222;100.03333333333333;6002;0.0694675925925926;0.35100000000000003;63.235441969176726;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;20.545516346139486;
2019-11-06 12:10:34;2.0005555555555556;1573043103;196.00943466166967;68.79931156624606;-0.006886288570838021;103.0347877605894;0.949182436399766;0.0;0.007810600393803636;870;100.05177125748502;100.044;96.568;103.593;7.025000000000006;8.768723613120123;90.16809116809117;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.35100000000000003;68.79931156624606;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;22.35324584394385;
2019-11-06 12:30:34;2.3338888888888887;1573044303;174.6513712586803;61.302631311796794;-0.006135927813147406;101.99706785274263;0.9179714034869741;0.0;0.009929353610211373;870;99.31752877697842;99.259;95.982;102.619;6.6370000000000005;8.768723613120123;90.16809116809117;2.3338888888888887;140.03333333333333;8402;0.09724537037037037;0.35100000000000003;61.302631311796794;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;19.917536344441256;
2019-11-06 12:50:34;2.667222222222222;1573045504;165.995080057407;58.26427310014986;-0.0058318112318814785;101.44182969057469;0.9062416334765945;0.0;0.010558616552365545;870;98.91449703440095;98.913;95.836;102.147;6.311000000000007;8.768723613120123;90.16809116809117;2.667222222222222;160.03333333333333;9602;0.11113425925925927;0.35100000000000003;58.26427310014986;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;18.93035832592994;
2019-11-06 13:10:34;3.0005555555555556;1573046704;184.06255587420134;64.60595711184467;-0.0064665656376366905;101.36010013959879;0.9299597665023162;0.0;0.009088157952725282;870;98.54770705882353;98.697;95.109;102.058;6.949000000000012;8.768723613120123;90.16809116809117;3.0005555555555556;180.03333333333333;10802;0.12502314814814816;0.35100000000000003;64.60595711184467;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;20.990803678519345;
2019-11-06 13:30:34;3.3338888888888887;1573047903;200.20314271274762;70.27130309217442;-0.007033623743103669;100.7178122222485;0.9425088665503325;0.0;0.00824844496369668;870;97.66622432113341;97.712;93.816;101.123;7.307000000000002;8.768723613120123;90.16809116809117;3.3338888888888887;200.03333333333333;12002;0.13891203703703703;0.35100000000000003;70.27130309217442;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;22.831503368768;
2019-11-06 13:50:34;3.6675;1573049104;185.7968370076685;65.21468978969165;-0.0065274951554868356;100.45168363988701;0.9356675804602239;0.0;0.008746150472370465;871;97.61611032028469;97.584;94.204;100.968;6.76400000000001;8.768723613120123;90.16809116809117;3.6675;220.05;13203;0.1528125;0.35100000000000003;65.21468978969165;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;21.188584018051575;
