AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1572857590
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 570
Mass of fish, kg: 0.35100000000000003
Fish length - width - heigth, cm: 34;3.8;6;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.649
Salinity: 1.2
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-04 08:58:41;0.25055555555555553;1572858492;170.69491533375484;59.913915282147954;-0.0048888773019567485;99.86300607738337;0.7658151255955961;0.0;0.02054153666736215;571;98.4713788150808;98.525;96.065;100.637;4.572000000000003;10.756130683742185;90.16809116809117;0.25055555555555553;15.033333333333333;902;0.010439814814814815;0.35100000000000003;59.913915282147954;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;15.869546433808114;
2019-11-04 09:13:41;0.5005555555555555;1572859392;182.785979123377;64.15787867230533;-0.005235177759717985;99.8282114073576;0.7759462469921456;0.0;0.020110424089359445;571;98.33461330935252;98.439;96.086;100.395;4.3089999999999975;10.756130683742185;90.16809116809117;0.5005555555555555;30.033333333333335;1802;0.020856481481481483;0.35100000000000003;64.15787867230533;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;16.993655478698923;
2019-11-04 09:28:42;0.7505555555555555;1572860291;179.5324877137733;63.015903187534434;-0.005141994431594694;99.85391878771199;0.7795541800401691;0.0;0.01998395279949508;570;98.38776353790612;98.482;96.107;100.548;4.4410000000000025;10.756130683742185;90.16809116809117;0.7505555555555555;45.03333333333333;2702;0.03127314814814815;0.35100000000000003;63.015903187534434;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;16.691177616978507;
2019-11-04 09:43:41;1.0005555555555556;1572861191;191.07818378963248;67.068442510161;-0.0054726749991452425;99.81162739921652;0.7855796662439998;0.0;0.01967334017494207;571;98.25002517985611;98.418;96.086;100.681;4.594999999999999;10.756130683742185;90.16809116809117;1.0005555555555556;60.03333333333333;3602;0.04168981481481481;0.35100000000000003;67.068442510161;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;17.764583697225415;
2019-11-04 09:58:42;1.2505555555555556;1572862091;136.45941269178564;47.89725385481677;-0.003908337422018651;99.94817128034909;0.5910814023735163;1.0588362996095484e-174;0.027192921295498083;570;98.83911891891891;98.762;96.589;101.233;4.6440000000000055;10.756130683742185;90.16809116809117;1.2505555555555556;75.03333333333333;4502;0.05210648148148148;0.35100000000000003;47.89725385481677;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;12.686663699432648;
2019-11-04 10:13:42;1.5005555555555556;1572862992;272.7516435909673;95.73582690042954;-0.007811886586170548;102.5820473803689;0.9168775173815712;0.0;0.01223806516374725;570;100.35748294434471;100.526;97.648;102.957;5.3089999999999975;10.756130683742185;90.16809116809117;1.5005555555555556;90.03333333333333;5402;0.06252314814814815;0.35100000000000003;95.73582690042954;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;25.357784468278123;
2019-11-04 10:28:42;1.7505555555555556;1572863891;197.31288494362528;69.25682261521249;-0.005651243229467985;101.12454057285501;0.875011202883576;0.0;0.015033945743643886;570;99.51786666666666;99.607;97.371;101.633;4.2620000000000005;10.756130683742185;90.16809116809117;1.7505555555555556;105.03333333333333;6302;0.07293981481481482;0.35100000000000003;69.25682261521249;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;18.34422533019818;
2019-11-04 10:43:42;2.0005555555555556;1572864791;213.94673148767183;75.09530275217281;-0.006127653640723743;101.56686889510836;0.9025678590021808;0.0;0.013261609653800775;570;99.82678057553956;99.79249999999999;97.648;101.968;4.320000000000007;10.756130683742185;90.16809116809117;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.35100000000000003;75.09530275217281;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;19.89067795643751;
2019-11-04 10:58:42;2.2505555555555556;1572865692;250.09852383405888;87.78458186575467;-0.007163078021594885;101.9814528587188;0.9154360208084676;0.0;0.012366025555924882;570;99.94286666666666;100.022;97.096;102.394;5.298000000000002;10.756130683742185;90.16809116809117;2.2505555555555556;135.03333333333333;8102;0.09377314814814815;0.35100000000000003;87.78458186575467;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;23.25171859543144;
2019-11-04 11:13:42;2.5005555555555556;1572866592;159.25168803108235;55.897342498909914;-0.004561131545079453;102.15350235665515;0.7921496081676328;0.0;0.019387100343605614;570;100.8499063063063;100.813;99.129;103.048;3.918999999999997;10.756130683742185;90.16809116809117;2.5005555555555556;150.03333333333333;9002;0.10418981481481482;0.35100000000000003;55.897342498909914;16.01879833329676;17.183637051960012;0.5054010897635298;-0.4443359375;14.805666899509704;
