AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1572772297
Flush time ,s: 540
Wait time, s: 60
Measurement time, s: 600
Mass of fish, kg: 0.35100000000000003
Fish length - width - heigth, cm: 34;3.8;6;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.649
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-03 09:21:38;0.33361111111111114;1572773498;209.0906676093084;73.39082433086726;-0.00596251925471757;104.09169810724651;0.936785804096606;0.0;0.010377392862819227;600;102.3053820033956;102.349;100.197;104.508;4.310999999999993;10.803126912819913;90.16809116809117;0.33361111111111114;20.016666666666666;1201;0.013900462962962963;0.35100000000000003;73.39082433086726;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;19.354643271031424;
2019-11-03 09:41:38;0.6672222222222223;1572774698;181.62408537607763;63.750053967003254;-0.005179270402440095;102.67016806088517;0.9037117236190682;0.0;0.012829471705448715;601;101.11244293015332;101.145;99.064;103.161;4.097000000000008;10.803126912819913;90.16809116809117;0.6672222222222223;40.03333333333333;2402;0.027800925925925927;0.35100000000000003;63.750053967003254;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;16.81217732993093;
2019-11-03 10:01:38;1.0005555555555556;1572775898;187.43427058548428;65.78942897550499;-0.005344956138588274;102.35876524069987;0.9029885422340969;0.0;0.012866567636337558;601;100.75707823129252;100.813;98.74;102.777;4.037000000000006;10.803126912819913;90.16809116809117;1.0005555555555556;60.03333333333333;3602;0.04168981481481481;0.35100000000000003;65.78942897550499;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;17.350001726172334;
2019-11-03 10:21:38;1.333611111111111;1572777098;185.48976078108797;65.10690603416188;-0.005289505662092765;101.80010497271832;0.9291116301313229;0.0;0.01103636365830767;600;100.2083441780822;100.197;98.332;102.237;3.905000000000001;10.803126912819913;90.16809116809117;1.333611111111111;80.01666666666667;4801;0.05556712962962963;0.35100000000000003;65.10690603416188;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;17.170006635853735;
2019-11-03 10:41:38;1.6669444444444443;1572778298;221.12068402185886;77.61336009167246;-0.006305572368060861;101.82703783148924;0.9397596518945304;0.0;0.010156341910477241;600;99.94087542662116;100.022;97.797;102.282;4.484999999999999;10.803126912819913;90.16809116809117;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.35100000000000003;77.61336009167246;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;20.4682112694111;
2019-11-03 11:01:38;2.0005555555555556;1572779498;189.19336716963224;66.40687187654092;-0.005395119292084384;101.45503569638005;0.9168844539788954;0.0;0.011929842431779933;601;99.83715358361775;99.825;97.626;101.767;4.140999999999991;10.803126912819913;90.16809116809117;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.35100000000000003;66.40687187654092;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;17.51283389489012;
2019-11-03 11:21:39;2.3338888888888887;1572780698;185.50985657396657;65.11395965746227;-0.0052900787223510125;101.45515782505959;0.9217420498960697;0.0;0.011605829007886218;600;99.87119210977701;99.891;98.01;101.946;3.935999999999993;10.803126912819913;90.16809116809117;2.3338888888888887;140.03333333333333;8402;0.09724537037037037;0.35100000000000003;65.11395965746227;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;17.171866818839714;
2019-11-03 11:41:39;2.667222222222222;1572781898;193.40066559643708;67.88363362434941;-0.005515096420509078;101.53395707562672;0.917731638391145;0.0;0.011868887151158842;600;99.88229863481229;99.869;97.648;102.013;4.365000000000009;10.803126912819913;90.16809116809117;2.667222222222222;160.03333333333333;9602;0.11113425925925927;0.35100000000000003;67.88363362434941;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;17.902285806429926;
2019-11-03 12:01:39;3.0005555555555556;1572783098;208.95231246757436;73.34226167611861;-0.005958573860090395;101.21038195878063;0.9384375773008874;0.0;0.010275987655546017;600;99.43233333333333;99.433;97.329;101.723;4.3940000000000055;10.803126912819913;90.16809116809117;3.0005555555555556;180.03333333333333;10802;0.12502314814814816;0.35100000000000003;73.34226167611861;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;19.34183631774368;
2019-11-03 12:21:39;3.3338888888888887;1572784299;214.8933494088272;75.42756564249835;-0.006127991020407651;100.92686634690229;0.940889138646783;0.0;0.010086618097037545;600;99.09171698113207;99.108;97.011;101.278;4.26700000000001;10.803126912819913;90.16809116809117;3.3338888888888887;200.03333333333333;12002;0.13891203703703703;0.35100000000000003;75.42756564249835;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;19.891773108193;
2019-11-03 12:41:39;3.667222222222222;1572785499;219.58444157418634;77.07413899253942;-0.0062617642188072704;100.80956765697334;0.9453383898806244;0.0;0.009682933131536325;600;98.93335042735042;98.978;96.758;101.322;4.564000000000007;10.803126912819913;90.16809116809117;3.667222222222222;220.03333333333333;13202;0.15280092592592592;0.35100000000000003;77.07413899253942;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;20.32600777036218;
2019-11-03 13:01:39;4.000555555555556;1572786699;186.21375298227036;65.36102729677691;-0.005310151334561903;100.7931840878639;0.922822974839449;0.0;0.011495757493241117;600;99.19829010238908;99.151;97.35;101.567;4.216999999999999;10.803126912819913;90.16809116809117;4.000555555555556;240.03333333333333;14402;0.16668981481481482;0.35100000000000003;65.36102729677691;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;17.237023547440995;
2019-11-03 13:21:39;4.333888888888889;1572787899;192.60268887225746;67.60354379416238;-0.005492340973615446;101.05403454020467;0.9358886248175289;0.0;0.010504599040540864;600;99.41703430531733;99.39;97.117;101.389;4.271999999999991;10.803126912819913;90.16809116809117;4.333888888888889;260.03333333333336;15602;0.1805787037037037;0.35100000000000003;67.60354379416238;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;17.828420458867207;
2019-11-03 13:41:39;4.667222222222223;1572789099;187.1464137696369;65.68839123314255;-0.005336747490030611;101.15858712748738;0.9183983430539325;0.0;0.011840989509047821;600;99.55919863013699;99.553;97.117;101.7;4.582999999999998;10.803126912819913;90.16809116809117;4.667222222222223;280.03333333333336;16802;0.19446759259259258;0.35100000000000003;65.68839123314255;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;17.323356031997825;
2019-11-03 14:01:39;5.000555555555556;1572790299;205.38046197506733;72.08854215324864;-0.005856717437802146;101.11502899244452;0.9404305167182956;0.0;0.010090994824590986;600;99.35648722316866;99.325;97.223;101.678;4.454999999999998;10.803126912819913;90.16809116809117;5.000555555555556;300.03333333333336;18002;0.20835648148148148;0.35100000000000003;72.08854215324864;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;19.011205147589752;
2019-11-03 14:21:39;5.333888888888889;1572791499;194.77043569743552;68.36442292979987;-0.005554157372846751;101.08042021642021;0.9208292272678282;0.0;0.011633342350460965;600;99.41791993185689;99.433;96.969;101.478;4.509;10.803126912819913;90.16809116809117;5.333888888888889;320.03333333333336;19202;0.22224537037037037;0.35100000000000003;68.36442292979987;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;18.029079660843777;
2019-11-03 14:41:39;5.6675;1572792699;200.15530087791728;70.25451060814898;-0.005707714500430629;101.03503860939449;0.9444558086912143;0.0;0.009769173702319575;601;99.32352568493151;99.368;97.308;101.5;4.191999999999993;10.803126912819913;90.16809116809117;5.6675;340.05;20403;0.23614583333333333;0.35100000000000003;70.25451060814898;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;18.527533971705537;
2019-11-03 15:01:39;6.000555555555556;1572793899;196.39044764711613;68.93304712413777;-0.005600354329187682;100.99491968727303;0.9268997096776559;0.0;0.011188017250791753;600;99.32437030716723;99.281;97.223;101.433;4.210000000000008;10.803126912819913;90.16809116809117;6.000555555555556;360.03333333333336;21602;0.25002314814814813;0.35100000000000003;68.93304712413777;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;18.17903735020112;
2019-11-03 15:21:39;6.333888888888889;1572795099;193.92193908483577;68.06660061877736;-0.00552996127912323;100.90444341071631;0.933877434953542;0.0;0.010677285352274381;600;99.24440034364261;99.238;97.286;101.411;4.125;10.803126912819913;90.16809116809117;6.333888888888889;380.03333333333336;22802;0.26391203703703703;0.35100000000000003;68.06660061877736;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;17.950537899791907;
2019-11-03 15:41:39;6.6675;1572796299;193.21925947183178;67.81996007461296;-0.005509923365569562;101.07486619173773;0.9258520660736774;0.0;0.01123907259767217;601;99.4216740237691;99.52;97.18;101.544;4.36399999999999;10.803126912819913;90.16809116809117;6.6675;400.05;24003;0.2778125;0.35100000000000003;67.81996007461296;21.979282437435412;23.577549589494055;0.6934573408674722;-0.56884765625;17.885493804811393;
