AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1573141844
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.498
Fish length - width - heigth, cm: 37.7;4.4;7;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.502
Salinity: 1.1
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-07 15:56:15;0.33361111111111114;1573143045;225.89491955184448;112.49566993681856;-0.009216555049999953;103.84503377776399;0.953917843006007;0.0;0.007358708838011187;870;99.84341735052755;99.956;95.067;104.877;9.810000000000002;10.762831892918802;63.257028112449795;0.33361111111111114;20.016666666666666;1201;0.013900462962962963;0.498;112.49566993681856;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;20.988427748320373;
2019-11-07 16:16:15;0.6669444444444445;1573144245;200.68627562549963;99.94176526149882;-0.008188037653752442;101.39024383537172;0.9408294967892059;0.0;0.00833360350811757;870;97.83063348946136;98.032;93.126;101.7;8.573999999999998;10.762831892918802;63.257028112449795;0.6669444444444445;40.016666666666666;2401;0.027789351851851853;0.498;99.94176526149882;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;18.646233409771764;
2019-11-07 16:36:15;1.0002777777777778;1573145445;182.19099296894478;90.7311144985345;-0.007433426655383686;100.01003502588362;0.9394366241040526;0.0;0.008431119411190893;870;96.77861826697892;96.91650000000001;92.603;100.395;7.792000000000002;10.762831892918802;63.257028112449795;1.0002777777777778;60.016666666666666;3601;0.04167824074074074;0.498;90.7311144985345;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;16.92779324081182;
2019-11-07 16:56:15;1.333611111111111;1573146645;161.8011487796795;80.57697209228039;-0.006601517191443061;98.83024887495165;0.9294078930135792;0.0;0.009107795952099353;870;95.96405275498242;96.107;92.202;99.346;7.1440000000000055;10.762831892918802;63.257028112449795;1.333611111111111;80.01666666666667;4801;0.05556712962962963;0.498;80.57697209228039;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;15.033324908301637;
2019-11-07 17:16:15;1.6669444444444443;1573147845;162.43892933860553;80.89458681062555;-0.0066275387577661255;98.79357769939145;0.9176547359226624;0.0;0.009836815669288512;870;95.9113364595545;96.107;92.262;99.498;7.236000000000004;10.762831892918802;63.257028112449795;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.498;80.89458681062555;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;15.092582598589047;
2019-11-07 17:36:15;2.0005555555555556;1573149045;161.3516960566513;80.35314463621235;-0.006583179436116913;98.65755273821607;0.9296612414614704;0.0;0.009091437749377077;871;95.79838452520515;95.919;92.182;98.935;6.753;10.762831892918802;63.257028112449795;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.498;80.35314463621235;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.991565199750962;
2019-11-07 17:56:15;2.3338888888888887;1573150245;183.26877433401842;91.26784961834117;-0.007477400337052898;98.8268426615372;0.9455638210820415;0.0;0.00802155627987806;871;95.56759551886792;95.794;91.387;99.259;7.872;10.762831892918802;63.257028112449795;2.3338888888888887;140.03333333333333;8402;0.09724537037037037;0.498;91.26784961834117;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;17.027932439843884;
2019-11-07 18:16:16;2.667222222222222;1573151445;156.5177759575181;77.94585242684401;-0.006385954590204707;98.01807504935792;0.9293261657784124;0.0;0.009123794221225577;870;95.24299882491187;95.192;92.023;98.611;6.588000000000008;10.762831892918802;63.257028112449795;2.667222222222222;160.03333333333333;9602;0.11113425925925927;0.498;77.94585242684401;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.542434325346655;
2019-11-07 18:36:15;3.0005555555555556;1573152645;181.6463211425678;90.45986792899878;-0.007411203942797024;98.25587316375132;0.9480046767782077;0.0;0.007812001963227172;871;95.0365468384075;95.0155;91.526;98.676;7.150000000000006;10.762831892918802;63.257028112449795;3.0005555555555556;180.03333333333333;10802;0.12502314814814816;0.498;90.45986792899878;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;16.877186501637965;
2019-11-07 18:56:16;3.3338888888888887;1573153845;172.17145881283903;85.74138648879384;-0.007024627784172641;97.55355496803743;0.9461203651143112;0.0;0.007975733183715113;870;94.4952355712603;94.286;90.894;98.525;7.631;10.762831892918802;63.257028112449795;3.3338888888888887;200.03333333333333;12002;0.13891203703703703;0.498;85.74138648879384;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;15.99685478002457;
