AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1573306782
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.498
Fish length - width - heigth, cm: 37.7;4.4;7;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.502
Salinity: 33
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-09 13:45:13;0.3338888888888889;1573307983;180.78591015910064;90.03138325923211;-0.008997296752539068;99.2271948375475;0.9587287287747539;0.0;0.006976313633758433;870;95.30999411764705;95.419;90.326;99.173;8.847000000000008;8.823507314537675;63.257028112449795;0.3338888888888889;20.033333333333335;1202;0.013912037037037037;0.498;90.03138325923211;10.408930941166268;11.54172106235862;0.30614644727741697;-0.3271484375;20.489121130011014;
2019-11-09 14:05:13;0.6672222222222223;1573309183;250.7646397535505;124.88079059726816;-0.012479976326256163;98.747354727777;0.9757883946213056;0.0;0.005333926333173854;871;93.32292497069167;93.633;87.165;98.827;11.661999999999992;8.823507314537675;63.257028112449795;0.6672222222222223;40.03333333333333;2402;0.027800925925925927;0.498;124.88079059726816;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;28.420063679256984;
2019-11-09 14:25:13;1.0005555555555556;1573310383;324.0452463036811;161.37453265923318;-0.01612698268176994;97.77707950246547;0.9841886344633068;0.0;0.0043129579772769235;871;90.78652464788733;91.0715;82.991;97.435;14.444000000000003;8.823507314537675;63.257028112449795;1.0005555555555556;60.03333333333333;3602;0.04168981481481481;0.498;161.37453265923318;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;36.72521988730964;
2019-11-09 14:45:13;1.333611111111111;1573311583;293.08621234301245;145.9569337468202;-0.014586223142097102;95.31364059135393;0.9812783236294019;0.0;0.004693133453511451;870;88.96411384976525;89.17150000000001;81.858;94.985;13.126999999999995;8.823507314537675;63.257028112449795;1.333611111111111;80.01666666666667;4801;0.05556712962962963;0.498;145.9569337468202;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;33.216520584747684;
2019-11-09 15:05:14;1.6672222222222222;1573312783;337.72345324153366;168.18627971428376;-0.01680771541561072;93.56382400568145;0.9868371112241372;0.0;0.003937510824239659;870;86.26757696827262;86.268;78.589;93.126;14.537000000000006;8.823507314537675;63.257028112449795;1.6672222222222222;100.03333333333333;6002;0.0694675925925926;0.498;168.18627971428376;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;38.275420555848356;
2019-11-09 15:25:14;2.0005555555555556;1573313983;337.37181452496714;168.01116363343363;-0.01679021516971298;92.17468013118578;0.9901870410319589;0.0;0.0034017474297072968;870;84.8835588235294;85.069;77.122;92.282;15.159999999999997;8.823507314537675;63.257028112449795;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.498;168.01116363343363;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;38.235568068166145;
2019-11-09 15:45:14;2.3338888888888887;1573315183;258.43875511336154;128.70250004645405;-0.012861899304350381;89.81559379244946;0.9665088743809849;0.0;0.006273358289557513;870;84.22464830011724;84.813;77.072;89.432;12.36;8.823507314537675;63.257028112449795;2.3338888888888887;140.03333333333333;8402;0.09724537037037037;0.498;128.70250004645405;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;29.289798931492463;
2019-11-09 16:05:14;2.667222222222222;1573316383;320.5987314270836;159.65816825068762;-0.015955457605067346;89.27288888158296;0.9873555908109957;0.0;0.0038614582598668333;870;82.33862823529412;82.405;74.957;88.874;13.917000000000002;8.823507314537675;63.257028112449795;2.667222222222222;160.03333333333333;9602;0.11113425925925927;0.498;159.65816825068762;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;36.334613889746855;
2019-11-09 16:25:14;3.0005555555555556;1573317583;306.3171994067248;152.54596530454896;-0.015244698776821412;87.82988040020442;0.9873998886723405;0.0;0.0038592419740481037;870;81.19960495283019;81.38550000000001;73.985;87.334;13.349000000000004;8.823507314537675;63.257028112449795;3.0005555555555556;180.03333333333333;10802;0.12502314814814816;0.498;152.54596530454896;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;34.71603620728396;
2019-11-09 16:45:14;3.3338888888888887;1573318784;297.7612036018494;148.285079393721;-0.014818886647976879;87.13617587707691;0.9869745452517548;0.0;0.00392152277910242;870;80.70308598351001;80.828;73.559;86.715;13.156000000000006;8.823507314537675;63.257028112449795;3.3338888888888887;200.03333333333333;12002;0.13891203703703703;0.498;148.285079393721;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;33.74635425430609;
