AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1573222491
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.498
Fish length - width - heigth, cm: 37.7;4.4;7;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.502
Salinity: 1.1
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-08 14:20:22;0.33361111111111114;1573223692;319.98482011774183;159.35244041863544;-0.013055440625359647;93.37268970862921;0.9840076662923939;0.0;0.004345244480550768;870;87.70951943462897;87.806;81.7;93.531;11.831000000000003;10.762831892918802;63.257028112449795;0.33361111111111114;20.016666666666666;1201;0.013900462962962963;0.498;159.35244041863544;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;29.7305414877166;
2019-11-08 14:40:22;0.6669444444444445;1573224892;245.37750426160872;122.19799712228114;-0.010011448157158206;92.52085731190014;0.972338096688696;0.0;0.005711406919418304;870;88.1630388235294;88.1005;83.17;92.063;8.893;10.762831892918802;63.257028112449795;0.6669444444444445;40.016666666666666;2401;0.027789351851851853;0.498;122.19799712228114;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;22.798600470852854;
2019-11-08 15:00:22;1.0002777777777778;1573226092;200.0624272033971;99.63108874729176;-0.008162584521222632;93.00098495729097;0.9550639745896362;0.0;0.007266621645678139;870;89.45659554513482;89.664;84.74;92.844;8.104;10.762831892918802;63.257028112449795;1.0002777777777778;60.016666666666666;3601;0.04167824074074074;0.498;99.63108874729176;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;18.588270187052196;
2019-11-08 15:20:22;1.333611111111111;1573227292;191.3736934261881;95.30409932624168;-0.0078080825548600755;93.60623303465022;0.9549915712974084;0.0;0.007293932572154032;870;90.21322523584907;90.56;85.601;94.183;8.582000000000008;10.762831892918802;63.257028112449795;1.333611111111111;80.01666666666667;4801;0.05556712962962963;0.498;95.30409932624168;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;17.780979516376053;
2019-11-08 15:40:22;1.6669444444444443;1573228492;217.57727218136495;108.35348154631974;-0.008877193478572855;94.10168260991314;0.96343309180352;0.0;0.006566685161120718;870;90.24222352941176;90.521;85.491;94.676;9.185000000000002;10.762831892918802;63.257028112449795;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.498;108.35348154631974;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;20.215615587614604;
2019-11-08 16:00:22;2.0005555555555556;1573229692;229.5160811014163;114.29900838850531;-0.009364299119821371;93.79856989949393;0.9642888848937993;0.0;0.006481749501140126;871;89.72485798122065;89.819;85.142;94.122;8.980000000000004;10.762831892918802;63.257028112449795;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.498;114.29900838850531;17.18752070665728;19.058015743500025;0.5055176589787804;-0.46875;21.32487837633346;
2019-11-08 16:20:22;2.3336111111111113;1573230892;142.98540800921242;71.20673318858779;-0.005833831441973437;93.82214393016747;0.9333297877668061;0.0;0.008866822051550417;870;91.28674705882354;91.4565;87.674;94.224;6.549999999999997;10.762831892918802;63.257028112449795;2.3336111111111113;140.01666666666668;8401;0.09723379629629629;0.498;71.20673318858779;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;13.28511022301546;
2019-11-08 16:40:22;2.6669444444444443;1573232092;154.15621683807663;76.76979598536217;-0.006289602535579743;94.70266996909133;0.9396610096459435;0.0;0.008415486391984802;870;91.96535245901639;91.883;88.357;95.233;6.876000000000005;10.762831892918802;63.257028112449795;2.6669444444444443;160.01666666666668;9601;0.11112268518518519;0.498;76.76979598536217;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.323016318734918;
2019-11-08 17:00:22;3.000277777777778;1573233292;151.34987202056348;75.37223626624062;-0.006175103141121444;95.39080169059783;0.9295206928906825;0.0;0.009111229116110692;870;92.70762867215042;92.683;89.162;96.191;7.028999999999996;10.762831892918802;63.257028112449795;3.000277777777778;180.01666666666668;10801;0.12501157407407407;0.498;75.37223626624062;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.062272227827066;
2019-11-08 17:20:22;3.3336111111111113;1573234492;156.7067191416445;78.03994613253896;-0.006393663507524664;96.06631186604251;0.9325127330800386;0.0;0.008915733431120267;870;93.28539130434783;93.147;90.189;96.863;6.674000000000007;10.762831892918802;63.257028112449795;3.3336111111111113;200.01666666666668;12001;0.13890046296296296;0.498;78.03994613253896;17.304392943993335;19.187607031105912;0.5089550936632867;-0.47119140625;14.559989480533154;
