AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1573510780
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.488
Fish length - width - heigth, cm: 37;4.5;7;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.512
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-11 22:25:11;0.3338888888888889;1573511981;323.47666537552914;157.8566127032582;-0.012880562603495573;91.40167332913978;0.9862881828604063;0.0;0.004021143579068412;871;85.78927882352941;85.7855;80.172;91.288;11.116;10.803126912819913;64.57377049180329;0.3338888888888889;20.033333333333335;1202;0.013912037037037037;0.488;157.8566127032582;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;29.942873761083387;
2019-11-11 22:45:12;0.6669444444444445;1573513181;277.7382421827407;135.53626218517746;-0.011059297930088769;90.61018707902453;0.9831409371289563;0.0;0.004456181486493754;869;85.79939247943595;85.841;80.568;90.521;9.953000000000003;10.803126912819913;64.57377049180329;0.6669444444444445;40.016666666666666;2401;0.027789351851851853;0.488;135.53626218517746;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;25.709060388168982;
2019-11-11 23:05:12;1.0005555555555556;1573514381;262.47417796086125;128.0873988449003;-0.010451496020898664;90.86856736867885;0.9773193150939027;0.0;0.005165574383653348;870;86.32632511737089;86.565;80.95;90.973;10.022999999999996;10.803126912819913;64.57377049180329;1.0005555555555556;60.03333333333333;3602;0.04168981481481481;0.488;128.0873988449003;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;24.296130192582204;
2019-11-11 23:25:12;1.333888888888889;1573515581;253.28238314291508;123.60180297374255;-0.010085486656811783;91.18374885088309;0.9770774803230742;0.0;0.005196097982952237;870;86.80815276145711;86.883;81.595;91.566;9.971000000000004;10.803126912819913;64.57377049180329;1.333888888888889;80.03333333333333;4802;0.05557870370370371;0.488;123.60180297374255;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;23.44528442430391;
2019-11-11 23:45:12;1.6672222222222222;1573516781;262.0146371825684;127.86314294509337;-0.010433197502343118;91.83086506842713;0.9750188019218674;0.0;0.005424413477614691;870;87.29746298472386;87.485;81.964;92.003;10.039000000000001;10.803126912819913;64.57377049180329;1.6672222222222222;100.03333333333333;6002;0.0694675925925926;0.488;127.86314294509337;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;24.25359243643055;
2019-11-12 00:05:12;2.0005555555555556;1573517981;256.08013843235204;124.96710755498779;-0.010196890866178844;92.13198518107448;0.9763603184610506;0.0;0.0052643686629676514;870;87.70053567251462;87.844;82.671;92.543;9.872;10.803126912819913;64.57377049180329;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.488;124.96710755498779;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;23.704260858813523;
2019-11-12 00:25:12;2.3338888888888887;1573519181;243.95713364223298;119.05108121740969;-0.009714163242038392;92.30362253279444;0.9750011937722491;0.0;0.00542632485630137;870;88.08847473560517;88.186;83.384;92.543;9.159000000000006;10.803126912819913;64.57377049180329;2.3338888888888887;140.03333333333333;8402;0.09724537037037037;0.488;119.05108121740969;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;22.582085317606758;
2019-11-12 00:45:12;2.667222222222222;1573520382;252.4933041949942;123.21673244715717;-0.01005406621176671;92.64707778016785;0.9783656696602328;0.0;0.0050509585233342105;870;88.2772494117647;88.395;83.116;93.086;9.969999999999999;10.803126912819913;64.57377049180329;2.667222222222222;160.03333333333333;9602;0.11113425925925927;0.488;123.21673244715717;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;23.372242706448638;
2019-11-12 01:05:12;3.0005555555555556;1573521581;245.35794454388747;119.73467693741708;-0.009769942327350383;92.54150204329684;0.9778500743621283;0.0;0.005104775807472341;870;88.29864084507044;88.20500000000001;83.725;92.723;8.998000000000005;10.803126912819913;64.57377049180329;3.0005555555555556;180.03333333333333;10802;0.12502314814814816;0.488;119.73467693741708;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;22.71175248832121;
2019-11-12 01:25:12;3.3338888888888887;1573522782;246.23699932696152;120.16365567155722;-0.009804945532765964;92.73417136676298;0.9716136737263829;0.0;0.005782301728438338;870;88.47770740305522;88.472;83.456;92.804;9.347999999999999;10.803126912819913;64.57377049180329;3.3338888888888887;200.03333333333333;12002;0.13891203703703703;0.488;120.16365567155722;17.07064846932123;18.940040925163043;0.5118929979773795;-0.46630859375;22.79312289062861;
