AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1573761782
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.526
Fish length - width - heigth, cm: 36.5;4.6;7.5;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.474
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-14 20:08:34;0.33305555555555555;1573762981;162.46552362973404;85.45686542924011;-0.006981408322998996;100.61775997276915;0.9723731771165819;0.0;0.005714527015522153;867;97.60367688679246;97.55199999999999;93.755;101.367;7.612000000000009;10.803126912819913;59.83650190114068;0.33305555555555555;19.983333333333334;1199;0.013877314814814815;0.526;85.45686542924011;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;15.038749886103677;
2019-11-14 20:28:31;0.6663888888888889;1573764181;154.4493976173747;81.24038314673909;-0.006636942324240771;100.52377276865991;0.9646409818609968;0.0;0.00646112872055412;870;97.63671849234393;97.563;94.142;100.813;6.6710000000000065;10.803126912819913;59.83650190114068;0.6663888888888889;39.983333333333334;2399;0.027766203703703703;0.526;81.24038314673909;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;14.296730832078984;
2019-11-14 20:48:31;1.0;1573765381;144.82650557781403;76.17874193393018;-0.00622343097072174;100.70670115869085;0.9623892275976788;0.0;0.006651914576431559;871;98.00044366197183;98.01;94.861;101.211;6.349999999999994;10.803126912819913;59.83650190114068;1.0;60.0;3600;0.041666666666666664;0.526;76.17874193393018;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;13.40598020800353;
2019-11-14 21:08:31;1.3330555555555557;1573766581;149.3027378450744;78.53324010650914;-0.006415781966232327;101.05957405780994;0.9633062413394687;0.0;0.00657419005392849;870;98.27106110458284;98.353;94.82;101.367;6.547000000000011;10.803126912819913;59.83650190114068;1.3330555555555557;79.98333333333333;4799;0.05554398148148148;0.526;78.53324010650914;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;13.820326193511532;
2019-11-14 21:28:31;1.6666666666666667;1573767781;148.56740989503405;78.14645760478791;-0.006384183725843522;101.27136246464777;0.964661676307824;0.0;0.0064478289727150475;871;98.50013967136151;98.536;95.129;101.611;6.481999999999999;10.803126912819913;59.83650190114068;1.6666666666666667;100.0;6000;0.06944444444444445;0.526;78.14645760478791;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;13.752259979352022;
2019-11-14 21:48:32;1.9997222222222222;1573768981;152.1397118099375;80.02548841202713;-0.006537691360963762;101.268009694465;0.9608155423050643;0.0;0.006801664642324977;869;98.43233804475854;98.418;95.047;101.522;6.4750000000000085;10.803126912819913;59.83650190114068;1.9997222222222222;119.98333333333333;7199;0.08332175925925926;0.526;80.02548841202713;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;14.082932935777652;
2019-11-14 22:08:31;2.3333333333333335;1573770181;174.0634735041027;91.55738706315802;-0.007479791130462669;101.35079628370825;0.9667171982557067;0.0;0.006261178624438848;871;98.09867802585194;98.289;94.061;101.7;7.638999999999996;10.803126912819913;59.83650190114068;2.3333333333333335;140.0;8400;0.09722222222222222;0.526;91.55738706315802;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;16.112323303130328;
2019-11-14 22:28:32;2.6663888888888887;1573771381;214.56596217802496;112.86169610564113;-0.00922024907632647;100.72939915932848;0.9824913627204841;0.0;0.004538545670083147;869;96.72245422535211;96.632;92.222;101.167;8.945000000000007;10.803126912819913;59.83650190114068;2.6663888888888887;159.98333333333332;9599;0.11109953703703704;0.526;112.86169610564113;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;19.861468249845576;
2019-11-14 22:48:32;3.0;1573772581;172.9509485315486;90.97219892759456;-0.007431984119292505;99.88487284177272;0.9725467137534508;0.0;0.0056864774863915665;869;96.65809048178613;96.695;92.543;100.153;7.609999999999999;10.803126912819913;59.83650190114068;3.0;180.0;10800;0.125;0.526;90.97219892759456;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;16.009341547798556;
2019-11-14 23:08:32;3.3333333333333335;1573773781;190.52401500206764;100.21563189108758;-0.008187127424634628;99.61343595299482;0.9763404812393667;0.0;0.005275862768655593;870;96.05566784037559;96.086;91.824;100.351;8.527000000000001;10.803126912819913;59.83650190114068;3.3333333333333335;200.0;12000;0.1388888888888889;0.526;100.21563189108758;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;17.636006365525112;
