AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1573857043
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.526
Fish length - width - heigth, cm: 36.5;4.6;7.5;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.474
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-15 22:36:14;0.33361111111111114;1573858244;188.90135964210776;99.36211517174868;-0.008117399279350089;92.88097808363561;0.9551718448246567;0.0;0.007257894536882687;870;89.35706565064477;89.781;85.491;92.744;7.253;10.803126912819913;59.83650190114068;0.33361111111111114;20.016666666666666;1201;0.013900462962962963;0.526;99.36211517174868;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;17.485803986801386;
2019-11-15 22:56:14;0.6669444444444445;1573859443;195.5167627627769;102.84181721322065;-0.00840167393267217;93.1797048169569;0.9736538138161395;0.0;0.005564089386219317;870;89.52799062133644;89.742;85.601;93.046;7.445000000000007;10.803126912819913;59.83650190114068;0.6669444444444445;40.016666666666666;2401;0.027789351851851853;0.526;102.84181721322065;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;18.098164016823684;
2019-11-15 23:16:14;1.0002777777777778;1573860644;175.6996486331338;92.41801518102838;-0.007550100242257581;93.26370684451807;0.9656394376998656;0.0;0.006354265414218192;870;89.9800328253224;90.209;86.082;93.288;7.206000000000003;10.803126912819913;59.83650190114068;1.0002777777777778;60.016666666666666;3601;0.04167824074074074;0.526;92.41801518102838;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;16.26377714998734;
2019-11-15 23:36:14;1.333888888888889;1573861844;185.62739421015817;97.64000935454321;-0.007976711649106051;93.9276095295017;0.9561559197545126;0.0;0.007177789237489701;871;90.45821688159437;90.796;86.026;93.592;7.5660000000000025;10.803126912819913;59.83650190114068;1.333888888888889;80.03333333333333;4802;0.05557870370370371;0.526;97.64000935454321;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;17.18274678323707;
2019-11-15 23:56:14;1.6669444444444443;1573863044;152.7039008955223;80.32225187104474;-0.006561935485439205;92.7065599797417;0.5701737158906712;3.295066709971853e-64;0.044302111647071964;870;91.96719909502262;92.083;90.56;92.985;2.424999999999997;10.803126912819913;59.83650190114068;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.526;80.32225187104474;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;14.135157545387237;
2019-11-16 00:16:14;2.0005555555555556;1573864244;221.09249234169613;116.29465097173217;-0.009500704713848687;90.97004844539914;0.9747891476668049;0.0;0.0054396876995842615;870;86.83600702576112;86.9115;81.718;90.796;9.078000000000003;10.803126912819913;59.83650190114068;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.526;116.29465097173217;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;20.465601684205794;
2019-11-16 00:36:14;2.3336111111111113;1573865444;232.9344765000874;122.52353463904599;-0.010009574072203337;91.20508481815297;0.9580832154434887;0.0;0.007022383084404531;870;86.85346948356809;87.19300000000001;81.455;90.835;9.379999999999995;10.803126912819913;59.83650190114068;2.3336111111111113;140.01666666666668;8401;0.09723379629629629;0.526;122.52353463904599;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;21.561764328036123;
2019-11-16 00:56:14;2.6669444444444443;1573866644;230.7732851855255;121.38674800758642;-0.009916704159288999;90.50879275591095;0.9770665192636026;0.0;0.005197340166028237;870;86.19313866039954;86.156;80.967;90.131;9.164000000000001;10.803126912819913;59.83650190114068;2.6669444444444443;160.01666666666668;9601;0.11112268518518519;0.526;121.38674800758642;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;21.36171194209245;
2019-11-16 01:16:14;3.0005555555555556;1573867844;171.4382761804236;90.17653327090282;-0.007366982123138645;90.6777317017659;0.9544367039614179;0.0;0.007317163959620208;871;87.47063305978898;87.674;83.331;90.384;7.052999999999997;10.803126912819913;59.83650190114068;3.0005555555555556;180.03333333333333;10802;0.12502314814814816;0.526;90.17653327090282;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;15.86931983340678;
2019-11-16 01:36:14;3.3336111111111113;1573869044;196.26185239860874;103.2337343616682;-0.008433691648608209;90.62847005024938;0.975614568814024;0.0;0.005353039395598508;870;86.95802461899179;86.939;82.617;90.365;7.7479999999999905;10.803126912819913;59.83650190114068;3.3336111111111113;200.01666666666668;12001;0.13890046296296296;0.526;103.2337343616682;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;18.167133829160857;
2019-11-16 01:56:15;3.6669444444444443;1573870244;196.72500347881353;103.47735182985592;-0.008453594005329237;91.21164691801144;0.9671400366065812;0.0;0.0062249463316451;869;87.53572588235293;87.711;82.991;90.815;7.823999999999998;10.803126912819913;59.83650190114068;3.6669444444444443;220.01666666666668;13201;0.15278935185185186;0.526;103.47735182985592;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;18.21000577576876;
2019-11-16 02:16:15;4.000555555555556;1573871444;238.28746757281215;125.3392079432992;-0.010239600822452398;91.46254870322406;0.983444881520028;0.0;0.0044158295510844745;870;87.02025851938895;86.996;82.281;91.209;8.927999999999997;10.803126912819913;59.83650190114068;4.000555555555556;240.03333333333333;14402;0.16668981481481482;0.526;125.3392079432992;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;22.057268186865407;
2019-11-16 02:36:15;4.333888888888889;1573872644;203.70307004025727;107.14781484117533;-0.00875345289773974;91.33044644586647;0.963500385093049;0.0;0.0065606401144268755;870;87.52412588235293;87.901;83.17;90.993;7.822999999999993;10.803126912819913;59.83650190114068;4.333888888888889;260.03333333333336;15602;0.1805787037037037;0.526;107.14781484117533;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;18.855936034457375;
2019-11-16 02:56:15;4.667222222222223;1573873844;183.46655802272687;96.50340951995435;-0.007883856996583272;91.42725160826775;0.969067344069547;0.0;0.006036076847653693;870;88.00220211515865;88.167;84.34;91.387;7.046999999999997;10.803126912819913;59.83650190114068;4.667222222222223;280.03333333333336;16802;0.19446759259259258;0.526;96.50340951995435;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;16.982727269917543;
2019-11-16 03:16:15;5.000555555555556;1573875045;201.74200774892313;106.11629607593358;-0.008669182855106929;92.49719596890952;0.9577098091181254;0.0;0.007053592399861354;870;88.73924765258216;89.124;84.431;92.063;7.632000000000005;10.803126912819913;59.83650190114068;5.000555555555556;300.03333333333336;18002;0.20835648148148148;0.526;106.11629607593358;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;18.674408750073912;
2019-11-16 03:36:15;5.333888888888889;1573876245;198.09968676249616;104.20043523707298;-0.008512666386372136;91.88713075247121;0.9743978693209653;0.0;0.005494651202622814;870;88.18076588235294;88.224;84.267;91.764;7.497;10.803126912819913;59.83650190114068;5.333888888888889;320.03333333333336;19202;0.22224537037037037;0.526;104.20043523707298;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;18.337254422829574;
2019-11-16 03:56:15;5.667222222222223;1573877444;218.71512471539384;115.04415560029716;-0.009398545352512914;92.41753366107443;0.9628976932277967;0.0;0.006610687243621788;870;88.33701880141012;88.874;83.474;92.063;8.588999999999999;10.803126912819913;59.83650190114068;5.667222222222223;340.03333333333336;20402;0.23613425925925927;0.526;115.04415560029716;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;20.245538766729457;
