AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1574157153
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.526
Fish length - width - heigth, cm: 36.5;4.6;7.5;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.474
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-19 09:58:04;0.33361111111111114;1574158353;180.2016517744669;94.7860688333696;-0.007743558654226273;89.48082311772673;0.9739196519694601;0.0;0.005549003338671326;870;86.1126760895171;86.101;81.805;89.22;7.414999999999992;10.803126912819913;59.83650190114068;0.33361111111111114;20.016666666666666;1201;0.013900462962962963;0.526;94.7860688333696;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;16.680508636867373;
2019-11-19 10:18:04;0.6669444444444445;1574159553;163.13845093279727;85.81082519065137;-0.0070103251058918755;89.14569058411867;0.9700240021555242;0.0;0.00593153403948686;870;86.10010655737705;86.082;82.246;88.912;6.666000000000011;10.803126912819913;59.83650190114068;0.6669444444444445;40.016666666666666;2401;0.027789351851851853;0.526;85.81082519065137;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;15.101039934947284;
2019-11-19 10:38:04;1.0002777777777778;1574160754;184.8018165146209;97.20575548669059;-0.007941235230071808;89.22305489830433;0.9743723351161985;0.0;0.005497390556346823;870;85.76924352941175;85.8505;81.753;88.931;7.177999999999997;10.803126912819913;59.83650190114068;1.0002777777777778;60.016666666666666;3601;0.04167824074074074;0.526;97.20575548669059;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;17.106326529897494;
2019-11-19 10:58:04;1.333888888888889;1574161954;176.4965679856351;92.83719476044406;-0.007584345165586614;89.0528267906169;0.971770351928659;0.0;0.005756161025813563;870;85.752668618267;85.915;81.63;88.95;7.320000000000007;10.803126912819913;59.83650190114068;1.333888888888889;80.03333333333333;4802;0.05557870370370371;0.526;92.83719476044406;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;16.3375446211031;
2019-11-19 11:18:04;1.6672222222222222;1574163154;175.03710999702668;92.06951985843604;-0.00752162987731438;89.23428783557983;0.9636300348403548;0.0;0.00654897777199405;871;85.95991882352939;86.11;82.087;88.931;6.843999999999994;10.803126912819913;59.83650190114068;1.6672222222222222;100.03333333333333;6002;0.0694675925925926;0.526;92.06951985843604;16.603159519977023;18.55708334949803;0.5084132424520008;-0.45654296875;16.202448736329544;
2019-11-19 11:38:04;2.0005555555555556;1574164354;216.1110822624137;113.6744292700296;-0.009286645404459254;88.98681680428314;0.9696292411615222;0.0;0.005977483125518322;870;84.94581807511737;85.4265;79.778;88.586;8.807999999999993;10.803126912819913;59.83650190114068;2.0005555555555556;120.03333333333333;7202;0.08335648148148148;0.526;113.6744292700296;16.48628728264097;18.426457136645112;0.504834442099866;-0.4541015625;20.004493514369237;
2019-11-19 11:58:04;2.3338888888888887;1574165554;161.33219575777505;84.86073496858968;-0.00693270737733859;88.1215734893979;0.9499658827320887;0.0;0.007676783201026391;871;85.10617978848416;85.565;81.211;87.92;6.709000000000003;10.803126912819913;59.83650190114068;2.3338888888888887;140.03333333333333;8402;0.09724537037037037;0.526;84.86073496858968;16.48628728264097;18.426457136645112;0.504834442099866;-0.4541015625;14.933842493910213;
2019-11-19 12:18:04;2.667222222222222;1574166754;154.55674596758683;81.29684837895068;-0.00664155525779669;88.55135345648652;0.9610854366932542;0.0;0.006778199942386466;871;85.67020141342755;85.804;82.105;88.625;6.519999999999996;10.803126912819913;59.83650190114068;2.667222222222222;160.03333333333333;9602;0.11113425925925927;0.526;81.29684837895068;16.36941504530492;18.2958309237922;0.5012556417477315;-0.45166015625;14.306667617148568;
2019-11-19 12:38:05;3.0005555555555556;1574167954;186.48465644583132;98.09092929050728;-0.008013549604466728;88.9443745162044;0.9743812951106082;0.0;0.005489959272257777;870;85.45963732394367;85.712;80.88;88.778;7.89800000000001;10.803126912819913;59.83650190114068;3.0005555555555556;180.03333333333333;10802;0.12502314814814816;0.526;98.09092929050728;16.36941504530492;18.2958309237922;0.5012556417477315;-0.45166015625;17.26209994113211;
2019-11-19 12:58:05;3.3338888888888887;1574169154;182.5962032685433;96.04560291925378;-0.007846456434365117;88.7118004421433;0.9701392835622189;0.0;0.0059305676814683725;870;85.31004347826087;85.583;81.071;88.357;7.286000000000001;10.803126912819913;59.83650190114068;3.3338888888888887;200.03333333333333;12002;0.13891203703703703;0.526;96.04560291925378;16.36941504530492;18.2958309237922;0.5012556417477315;-0.45166015625;16.902162192675814;
