AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1574778469
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.453
Fish length - width - heigth, cm: 36;4.3;6.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.547
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-26 14:38:20;0.41694444444444445;1574779970;233.69296431709796;105.86291283564537;-0.008628470027254774;99.55661691958471;0.9776835133568058;0.0;0.005126949816481864;870;95.79681433607522;95.794;91.605;99.803;8.197999999999993;10.803126912819913;69.6401766004415;0.41694444444444445;25.016666666666666;1501;0.017372685185185185;0.453;105.86291283564537;37.87390671513848;41.61300113164641;1.1559166981012892;-0.89599609375;21.631974353626997;
2019-11-26 15:03:20;0.8338888888888889;1574781470;233.4598728669966;105.75732240874946;-0.008619863766485708;99.28608036998625;0.9764778303093105;0.0;0.005269834595090234;871;95.52803297997643;95.606;91.19;99.585;8.394999999999996;10.803126912819913;69.6401766004415;0.8338888888888889;50.03333333333333;3002;0.03474537037037037;0.453;105.75732240874946;37.6985983591344;41.420385490707815;1.1505662636307727;-0.89599609375;21.61039805891322;
2019-11-26 15:28:20;1.2502777777777778;1574782970;248.6410598027378;112.63440009064023;-0.009180387344232167;98.86908041980126;0.9769586106816446;0.0;0.005209553301834901;870;94.88262397179788;94.944;90.189;99.281;9.092000000000013;10.803126912819913;69.6401766004415;1.2502777777777778;75.01666666666667;4501;0.05209490740740741;0.453;112.63440009064023;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;23.0156566528603;
2019-11-26 15:53:20;1.6669444444444443;1574784470;239.4425903757646;108.46749344022138;-0.008840759157396544;97.71668332721923;0.9810959725789773;0.0;0.0047242782000262076;870;93.86743345111897;93.877;89.567;98.16;8.593000000000004;10.803126912819913;69.6401766004415;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.453;108.46749344022138;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;22.164193044110366;
2019-11-26 16:18:20;2.0838888888888887;1574785970;258.86821790362256;117.26730271034103;-0.009557997031350261;97.05981349263864;0.9825663163587568;0.0;0.004536833856539775;870;92.90063250883394;93.005;88.091;97.435;9.344000000000008;10.803126912819913;69.6401766004415;2.0838888888888887;125.03333333333333;7502;0.0868287037037037;0.453;117.26730271034103;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;23.962341643550204;
2019-11-26 16:43:20;2.5005555555555556;1574787470;268.3382292791537;121.55721786345664;-0.009907651157867558;96.26916702032364;0.9817961566582777;0.0;0.004630497985328862;871;91.96315746180963;92.142;87.127;96.674;9.547000000000011;10.803126912819913;69.6401766004415;2.5005555555555556;150.03333333333333;9002;0.10418981481481482;0.453;121.55721786345664;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;24.838940747860757;
2019-11-26 17:08:20;2.917222222222222;1574788970;263.9289387934306;119.55980927342405;-0.00974485023269337;95.22669534336698;0.9804279122181567;0.0;0.0047985399472858375;871;90.9922147887324;90.94300000000001;86.696;95.482;8.786000000000001;10.803126912819913;69.6401766004415;2.917222222222222;175.03333333333333;10502;0.12155092592592592;0.453;119.55980927342405;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;24.430791281386313;
2019-11-26 17:33:20;3.3336111111111113;1574790470;246.1259917950775;111.49507428317011;-0.009087525374750029;94.3905610557028;0.9843892448548808;0.0;0.0042905604959310815;870;90.45221999999998;90.463;86.286;94.614;8.328000000000003;10.803126912819913;69.6401766004415;3.3336111111111113;200.01666666666668;12001;0.13890046296296296;0.453;111.49507428317011;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;22.782847390509076;
2019-11-26 17:58:20;3.750277777777778;1574791970;243.06757477086396;110.10961137120138;-0.008974601737098428;93.79335440928705;0.9802736663785014;0.0;0.00482024754158841;870;89.8975652173913;89.878;85.601;94.204;8.602999999999994;10.803126912819913;69.6401766004415;3.750277777777778;225.01666666666668;13501;0.15626157407407407;0.453;110.10961137120138;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;22.49974259604589;
2019-11-26 18:23:21;4.167222222222223;1574793470;261.1724537385546;118.31112154356525;-0.009643074602664987;93.09079166201028;0.9818751833112395;0.0;0.004623159589047573;870;88.90314470588237;88.701;84.267;93.308;9.041000000000011;10.803126912819913;69.6401766004415;4.167222222222223;250.03333333333333;15002;0.17363425925925927;0.453;118.31112154356525;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;24.175635058829595;
