AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1574554307
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.453
Fish length - width - heigth, cm: 36;4.3;6.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.547
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-24 00:17:17;0.33361111111111114;1574555507;188.58346518190234;85.42830972740177;-0.00696292582753993;90.19166259082361;0.9618020048823025;0.0;0.006707588930102867;871;87.1588542890717;87.334;83.456;90.15;6.694000000000003;10.803126912819913;69.6401766004415;0.33361111111111114;20.016666666666666;1201;0.013900462962962963;0.453;85.42830972740177;10.05831422915811;11.05131943605679;0.3069810954460219;-0.31982421875;17.456377834283618;
2019-11-24 00:37:17;0.6669444444444445;1574556707;178.76082688395041;80.97865457842954;-0.0066002519216732565;89.66994995116582;0.9500659039910015;0.0;0.007664593616409422;871;86.79911150234742;87.052;82.777;89.451;6.673999999999992;10.803126912819913;69.6401766004415;0.6669444444444445;40.016666666666666;2401;0.027789351851851853;0.453;80.97865457842954;10.175186466494164;11.179729863349184;0.3105480517596996;-0.322265625;16.547137539578245;
2019-11-24 00:57:18;1.0002777777777778;1574557907;192.53712747299906;87.21931874526858;-0.007108903934652844;89.55748770892886;0.953320732845338;0.0;0.007419319753650782;870;86.47223176470588;86.677;82.511;89.316;6.805000000000007;10.803126912819913;69.6401766004415;1.0002777777777778;60.016666666666666;3601;0.04167824074074074;0.453;87.21931874526858;10.05831422915811;11.05131943605679;0.3069810954460219;-0.31982421875;17.822351716012708;
2019-11-24 01:17:17;1.333611111111111;1574559107;181.4150581278898;82.18102133193409;-0.006698252110941508;89.4022702753927;0.9438860182399231;0.0;0.008125050715503393;871;86.48842840375588;86.827;82.76;89.278;6.518000000000001;10.803126912819913;69.6401766004415;1.333611111111111;80.01666666666667;4801;0.05556712962962963;0.453;82.18102133193409;10.05831422915811;11.05131943605679;0.3069810954460219;-0.31982421875;16.792828557128882;
2019-11-24 01:37:18;1.6669444444444443;1574560307;199.43345177752735;90.3433536552199;-0.007363531743982649;89.31172410501387;0.9604304377825635;0.0;0.006835006273909907;870;86.11183156654889;86.379;81.928;89.181;7.253;10.803126912819913;69.6401766004415;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.453;90.3433536552199;10.175186466494164;11.179729863349184;0.3105480517596996;-0.322265625;18.460715437940713;
2019-11-24 01:57:18;2.000277777777778;1574561507;188.83977745693656;85.54441918799226;-0.00697238945340994;89.21777496218566;0.9431646822624055;0.0;0.008186744185018666;870;86.19183176470588;86.64;81.893;88.95;7.057000000000002;10.803126912819913;69.6401766004415;2.000277777777778;120.01666666666667;7201;0.08334490740740741;0.453;85.54441918799226;10.175186466494164;11.179729863349184;0.3105480517596996;-0.322265625;17.480103583050862;
2019-11-24 02:17:18;2.3336111111111113;1574562707;209.64380418021807;94.96864329363879;-0.007740520926912363;88.95189951306203;0.9471257645135908;0.0;0.007900968772247776;870;85.59001531213192;86.045;81.141;88.567;7.425999999999988;10.803126912819913;69.6401766004415;2.3336111111111113;140.01666666666668;8401;0.09723379629629629;0.453;94.96864329363879;10.175186466494164;11.179729863349184;0.3105480517596996;-0.322265625;19.405844795865246;
2019-11-24 02:37:18;2.6669444444444443;1574563907;169.98879473521035;77.00492401505029;-0.006276368758589167;88.6349548115702;0.9139384632174212;0.0;0.010074108461804985;870;85.91327764705882;86.398;81.858;88.281;6.423000000000002;10.803126912819913;69.6401766004415;2.6669444444444443;160.01666666666668;9601;0.11112268518518519;0.453;77.00492401505029;10.05831422915811;11.05131943605679;0.3069810954460219;-0.31982421875;15.735147435275163;
2019-11-24 02:57:18;3.000277777777778;1574565107;201.9727125080323;91.49363876613863;-0.0074572869632232985;88.73376444072694;0.948919860922559;0.0;0.0077703548815453;870;85.49668632075472;85.906;81.49;88.376;6.88600000000001;10.803126912819913;69.6401766004415;3.000277777777778;180.01666666666668;10801;0.12501157407407407;0.453;91.49363876613863;10.05831422915811;11.05131943605679;0.3069810954460219;-0.31982421875;18.695764118845464;
2019-11-24 03:17:18;3.3336111111111113;1574566307;185.61130054242156;84.08191914571697;-0.006853186821991486;88.54348262876456;0.9335377112225106;0.0;0.008858209379388048;870;85.56421908127209;85.971;81.805;88.129;6.323999999999998;10.803126912819913;69.6401766004415;3.3336111111111113;200.01666666666668;12001;0.13890046296296296;0.453;84.08191914571697;10.05831422915811;11.05131943605679;0.3069810954460219;-0.31982421875;17.181257060135;
