AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1574670294
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.453
Fish length - width - heigth, cm: 36;4.3;6.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.547
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-25 08:30:25;0.33361111111111114;1574671495;165.8001654592525;75.10747495304139;-0.0061217151417441015;85.98428066970109;0.9404424065336151;0.0;0.00838051377680329;870;83.3200094117647;83.555;79.949;85.841;5.891999999999996;10.803126912819913;69.6401766004415;0.33361111111111114;20.016666666666666;1201;0.013900462962962963;0.453;75.10747495304139;10.05831422915811;11.05131943605679;0.3069810954460219;-0.31982421875;15.347423648471617;
2019-11-25 08:50:25;0.6669444444444445;1574672695;238.94886211551633;108.2438345383289;-0.008822529599191359;85.62049033957422;0.9627594275917485;0.0;0.006622993498689884;870;81.78556169212692;81.946;77.238;85.124;7.885999999999996;10.803126912819913;69.6401766004415;0.6669444444444445;40.016666666666666;2401;0.027789351851851853;0.453;108.2438345383289;10.175186466494164;11.179729863349184;0.3105480517596996;-0.322265625;22.118490696611108;
2019-11-25 09:10:25;1.0002777777777778;1574673895;184.50207203827244;83.57943863333742;-0.006812231609970466;83.56270858248669;0.9348590626951055;0.0;0.008759375747861238;870;80.60446298472385;81.002;76.431;83.205;6.774000000000001;10.803126912819913;69.6401766004415;1.0002777777777778;60.016666666666666;3601;0.04167824074074074;0.453;83.57943863333742;16.135670570632815;17.728661655261245;0.4924628237572568;-0.44677734375;17.078580445012317;
2019-11-25 09:30:25;1.333611111111111;1574675094;178.37497124745596;80.80386197509755;-0.006586005263439155;83.16987019737925;0.9433557029479954;0.0;0.008172974985187216;870;80.30552352941177;80.707;76.677;82.848;6.170999999999992;10.803126912819913;69.6401766004415;1.333611111111111;80.01666666666667;4801;0.05556712962962963;0.453;80.80386197509755;16.135670570632815;17.728661655261245;0.4924628237572568;-0.44677734375;16.511420506944244;
2019-11-25 09:50:25;1.6669444444444443;1574676294;190.61828609793503;86.35008360236456;-0.007038055993893571;83.206993881748;0.9357581276595051;0.0;0.008698717960620158;870;80.15086486486486;80.499;76.154;82.848;6.694000000000003;10.803126912819913;69.6401766004415;1.6669444444444443;100.01666666666667;6001;0.06945601851851851;0.453;86.35008360236456;16.135670570632815;17.728661655261245;0.4924628237572568;-0.44677734375;17.64473264418759;
2019-11-25 10:10:25;2.000277777777778;1574677494;212.0807231572921;96.07256759025333;-0.00783049745835813;82.98349094766043;0.9532854278616409;0.0;0.007413387900465977;870;79.57501877934271;79.949;75.359;82.617;7.25800000000001;10.803126912819913;69.6401766004415;2.000277777777778;120.01666666666667;7201;0.08334490740740741;0.453;96.07256759025333;16.135670570632815;17.728661655261245;0.4924628237572568;-0.44677734375;19.631420131297265;
2019-11-25 10:30:25;2.3336111111111113;1574678695;207.24873310763945;93.88367609776067;-0.007652089514253965;82.31045542572781;0.9441851350102525;0.0;0.008108137298250937;870;78.98476380728555;79.385;74.941;82.14;7.198999999999998;10.803126912819913;69.6401766004415;2.3336111111111113;140.01666666666668;8401;0.09723379629629629;0.453;93.88367609776067;16.135670570632815;17.728661655261245;0.4924628237572568;-0.44677734375;19.18414314486118;
2019-11-25 10:50:25;2.6669444444444443;1574679895;213.4600769250234;96.6974148470356;-0.007881426302864125;82.09264254198108;0.9447396523063886;0.0;0.008072515367323488;870;78.66795882352942;79.0625;74.398;81.648;7.25;10.803126912819913;69.6401766004415;2.6669444444444443;160.01666666666668;9601;0.11112268518518519;0.453;96.6974148470356;16.135670570632815;17.728661655261245;0.4924628237572568;-0.44677734375;19.759101105413606;
2019-11-25 11:10:25;3.000277777777778;1574681094;196.176296970515;88.8678625276433;-0.007243270260250944;81.64109508093756;0.9271205541536667;0.0;0.009254175914274083;870;78.49084994138336;78.927;74.446;81.28;6.834000000000003;10.803126912819913;69.6401766004415;3.000277777777778;180.01666666666668;10801;0.12501157407407407;0.453;88.8678625276433;16.135670570632815;17.728661655261245;0.4924628237572568;-0.44677734375;18.159214323189655;
2019-11-25 11:30:25;3.3336111111111113;1574682295;204.66178150291358;92.71178702081986;-0.007556573440637611;81.42009404236214;0.9398585072865503;0.0;0.008426464517588286;870;78.14046996466432;78.573;73.89;80.828;6.938000000000002;10.803126912819913;69.6401766004415;3.3336111111111113;200.01666666666668;12001;0.13890046296296296;0.453;92.71178702081986;16.135670570632815;17.728661655261245;0.4924628237572568;-0.4443359375;18.94467992040753;
2019-11-25 11:50:25;3.667222222222222;1574683495;168.72334618559498;76.43167582207452;-0.00622964555101081;81.4434912430737;0.9176315341490852;0.0;0.009849782563587817;871;78.73771680376029;79.113;75.311;81.263;5.951999999999998;10.803126912819913;69.6401766004415;3.667222222222222;220.03333333333333;13202;0.15280092592592592;0.453;76.43167582207452;16.135670570632815;17.728661655261245;0.4924628237572568;-0.44677734375;15.618010187899714;
