AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1577045692
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.47000000000000003
Fish length - width - heigth, cm: 34;3.8;6.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.53
Salinity: 0.8
Temperature: 10

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-12-22 20:25:23;0.41694444444444445;1577047192;197.7357540737161;92.93580441464657;-0.007245179486260906;95.47825674150201;0.9608444448530138;0.0;0.0067951455989602345;870;92.33609058823531;92.483;88.349;95.743;7.393999999999991;11.300754545020327;67.08510638297872;0.41694444444444445;25.016666666666666;1501;0.017372685185185185;0.47000000000000003;92.93580441464657;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;17.49757091758517;
2019-12-22 20:50:23;0.8330555555555555;1577048691;181.30934965976;85.2153943400872;-0.006643304277346223;96.23321345981573;0.958158463014952;0.0;0.0070160770826344435;868;93.3594307511737;93.468;90.001;96.599;6.597999999999999;11.300754545020327;67.08510638297872;0.8330555555555555;49.983333333333334;2999;0.03471064814814815;0.47000000000000003;85.2153943400872;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;16.044003870489682;
2019-12-22 21:15:21;1.2497222222222222;1577050191;222.22495966795543;104.44573104393906;-0.008142481498420341;96.82079507343352;0.9513148524385582;0.0;0.007568133468031041;870;93.28378521126761;93.569;88.749;96.746;7.997;11.300754545020327;67.08510638297872;1.2497222222222222;74.98333333333333;4499;0.05207175925925926;0.47000000000000003;104.44573104393906;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;19.664612551546725;
2019-12-22 21:40:21;1.666388888888889;1577051691;181.527356399295;85.31785750766866;-0.006651292200241325;95.72119748115645;0.9613396334587709;0.0;0.006748063155461212;870;92.83421621621622;92.883;89.344;96.452;7.108000000000004;11.300754545020327;67.08510638297872;1.666388888888889;99.98333333333333;5999;0.06943287037037037;0.47000000000000003;85.31785750766866;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;16.063295214148773;
2019-12-22 22:05:21;2.0830555555555557;1577053191;175.84116723214754;82.64534859910935;-0.0064429461613481395;95.90810190209392;0.9473595737177674;0.0;0.00787418934315254;870;93.10836545240893;93.266;89.749;96.118;6.369;11.300754545020327;67.08510638297872;2.0830555555555557;124.98333333333333;7499;0.08679398148148149;0.47000000000000003;82.64534859910935;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;15.560126231538396;
2019-12-22 22:30:21;2.499722222222222;1577054691;171.2484175253341;80.48675623690704;-0.006274664526510718;95.67271091338093;0.9494063788835346;0.0;0.007710509951301859;870;92.94516647127784;93.125;89.44;96.243;6.802999999999997;11.300754545020327;67.08510638297872;2.499722222222222;149.98333333333332;8999;0.10415509259259259;0.47000000000000003;80.48675623690704;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;15.153715342025073;
2019-12-22 22:55:21;2.9163888888888887;1577056191;162.44652004845884;76.34986442277565;-0.0059521567062211485;95.81468020261396;0.9441285582891688;0.0;0.008107472349326614;870;93.22771361502346;93.195;90.118;96.243;6.125;11.300754545020327;67.08510638297872;2.9163888888888887;174.98333333333332;10499;0.12151620370370371;0.47000000000000003;76.34986442277565;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;14.374838370420216;
2019-12-22 23:20:21;3.3330555555555557;1577057691;163.43118584766086;76.8126573484006;-0.005988235565518095;95.91905967345835;0.9467798125445714;0.0;0.007912773549248117;870;93.31356572769953;93.195;90.079;96.494;6.415000000000006;11.300754545020327;67.08510638297872;3.3330555555555557;199.98333333333332;11999;0.13887731481481483;0.47000000000000003;76.8126573484006;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;14.461971118528252;
2019-12-22 23:45:21;3.749722222222222;1577059191;152.122150265306;71.49741062469383;-0.005573864411477201;95.97225891291916;0.9452220455542538;0.0;0.008027742664604612;870;93.5500223004695;93.63;90.703;96.641;5.938000000000002;11.300754545020327;67.08510638297872;3.749722222222222;224.98333333333332;13499;0.15623842592592593;0.47000000000000003;71.49741062469383;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;13.461238332296897;
2019-12-23 00:10:21;4.166666666666667;1577060691;162.64707370074777;76.44412463935146;-0.005959505135513895;95.73387510921967;0.9412606440066191;0.0;0.008317843506864559;871;93.13964159811985;93.246;89.885;95.972;6.086999999999989;11.300754545020327;67.08510638297872;4.166666666666667;250.0;15000;0.1736111111111111;0.47000000000000003;76.44412463935146;15.200692671944399;16.433672429014333;0.4833433067357157;-0.42724609375;14.392585296210875;
