AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1571421926
Flush time ,s: 540
Wait time, s: 60
Measurement time, s: 600
Mass of fish, kg: 0.343
Fish length - width - heigth, cm: 33.9;4.0;5.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.657
Salinity: 35
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-10-18 20:15:28;0.3338888888888889;1571423128;303.42970406277243;104.07638849353096;-0.010479690185154007;108.37036046361082;0.9836400438053942;0.0;0.005297327102727014;600;105.22666837606837;105.224;102.102;108.455;6.352999999999994;8.714280054667721;92.29446064139941;0.3338888888888889;20.033333333333335;1202;0.013912037037037037;0.343;104.07638849353096;17.304392943993335;18.592176041061915;0.5484417711227704;-0.47119140625;34.81982471979922;
2019-10-18 20:35:28;0.6675;1571424328;323.8989679825888;111.09734601802796;-0.011186646496041251;106.225381321549;0.9805046530689214;0.0;0.005782707250136961;600;102.86911965811966;102.935;99.216;106.343;7.1270000000000095;8.714280054667721;92.29446064139941;0.6675;40.05;2403;0.0278125;0.343;111.09734601802796;19.174348741370164;20.60129288707658;0.60770775478102;-0.51025390625;37.16875817057261;
2019-10-18 20:55:28;1.0008333333333332;1571425528;318.1272459294081;109.11764535378698;-0.010987305897074575;103.9836082292179;0.9829621081475658;0.0;0.0054059702484054875;601;100.69870427350428;100.659;97.011;104.37;7.359000000000009;8.714280054667721;92.29446064139941;1.0008333333333332;60.05;3603;0.04170138888888889;0.343;109.11764535378698;22.213026912107516;23.866107761850415;0.704014978225676;-0.57373046875;36.50642898021234;
2019-10-18 21:15:28;1.3341666666666667;1571426728;346.77505666552;118.94384443627338;-0.011976728412331267;103.55886095377394;0.9821596028760394;0.0;0.005527081075238652;601;99.95237372013652;100.055;95.982;103.365;7.382999999999996;8.714280054667721;92.29446064139941;1.3341666666666667;80.05;4803;0.05559027777777778;0.343;118.94384443627338;26.303555218869334;28.2610508625075;0.8336593174780974;-0.6591796875;39.79388480632697;
2019-10-18 21:35:28;1.6675;1571427928;355.8273707327963;122.04878816134914;-0.012289372315065791;102.5167591782532;0.9846954757149234;0.0;0.005119216463529703;600;98.83848293515359;98.94550000000001;94.944;102.327;7.382999999999996;8.714280054667721;92.29446064139941;1.6675;100.05;6003;0.06947916666666666;0.343;122.04878816134914;31.32906142431957;33.660552386171915;0.9929366485596436;-0.76416015625;40.83267561985235;
2019-10-18 21:55:28;2.0008333333333335;1571429128;350.7485599875149;120.30675607571763;-0.012113963110209007;101.7879790221824;0.9854880378141915;0.0;0.00498063981504325;601;98.16179727427598;98.01;94.532;102.237;7.704999999999998;8.714280054667721;92.29446064139941;2.0008333333333335;120.05;7203;0.08336805555555556;0.343;120.30675607571763;36.70518434177796;39.43676331846409;1.1633263515771117;-0.87646484375;40.24986089351578;
2019-10-18 22:15:29;2.3341666666666665;1571430329;337.95697836251617;115.91924357834306;-0.011672174417100823;101.1287224016264;0.9871727066882797;0.0;0.004686634543250282;600;97.64250682593858;97.626;93.816;101.211;7.394999999999996;8.714280054667721;92.29446064139941;2.3341666666666665;140.05;8403;0.09725694444444444;0.343;115.91924357834306;15.434437146616503;16.583059195047245;0.4891757874645205;-0.43212890625;38.78197352419179;
2019-10-18 22:35:29;2.6675;1571431529;364.79025988225646;125.12305913961397;-0.012598927708597038;101.1317176959702;0.9911649815749548;0.0;0.0039029207509260234;600;97.36256013745704;97.414;93.41;101.189;7.778999999999996;8.714280054667721;92.29446064139941;2.6675;160.05;9603;0.11114583333333333;0.343;125.12305913961397;15.434437146616503;16.583059195047245;0.4891757874645205;-0.43212890625;41.861204550898044;
2019-10-18 22:55:29;3.0008333333333335;1571432728;362.35470630077833;124.28766426116698;-0.012514809882881617;100.94699661371256;0.987712936818992;0.0;0.004606645192833539;600;97.19085197934596;97.286;93.106;101.123;8.01700000000001;8.714280054667721;92.29446064139941;3.0008333333333335;180.05;10803;0.12503472222222223;0.343;124.28766426116698;15.434437146616503;16.583059195047245;0.4891757874645205;-0.43212890625;41.5817146141277;
2019-10-18 23:15:29;3.3341666666666665;1571433928;340.42280248633966;116.76502125281452;-0.011757337710353756;100.74270437488893;0.9862666120011306;0.0;0.004841055225643402;600;97.21400340136054;97.244;93.349;100.681;7.331999999999994;8.714280054667721;92.29446064139941;3.3341666666666665;200.05;12003;0.13892361111111112;0.343;116.76502125281452;15.434437146616503;16.583059195047245;0.4891757874645205;-0.43212890625;39.06493713201189;
