AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1571822094
Flush time ,s: 540
Wait time, s: 60
Measurement time, s: 600
Mass of fish, kg: 0.444
Fish length - width - heigth, cm: 35.5;4.5;6.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.556
Salinity: 0.4
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-10-23 11:24:55;0.3338888888888889;1571823295;549.6187557213578;244.0307275402829;-0.019871932420560172;106.08550312137767;0.9203438809205416;0.0;0.01166894623000433;601;100.1284258943782;99.173;95.109;109.008;13.899000000000001;10.809857401257895;71.07207207207207;0.3338888888888889;20.033333333333335;1202;0.013912037037037037;0.444;244.0307275402829;16.135670570632815;17.78763168459894;0.5010600474534912;-0.44677734375;50.84421887539433;
2019-10-23 11:44:56;0.6672222222222223;1571824495;249.5242460404148;110.78876524194418;-0.00902176081691105;100.78497370718746;0.9755935061750323;0.0;0.006470210643542781;600;98.08794529914529;98.032;95.088;101.123;6.035000000000011;10.809857401257895;71.07207207207207;0.6672222222222223;40.03333333333333;2402;0.027800925925925927;0.444;110.78876524194418;16.135670570632815;17.78763168459894;0.5010600474534912;-0.44677734375;23.083028459873926;
2019-10-23 12:04:56;1.0005555555555556;1571825695;232.91909944806775;103.41608015494208;-0.008421387653728997;100.4798363203802;0.962194006093016;0.0;0.008052784045705252;600;97.96343931623932;98.032;94.923;100.835;5.911999999999992;10.809857401257895;71.07207207207207;1.0005555555555556;60.03333333333333;3602;0.04168981481481481;0.444;103.41608015494208;16.01879833329676;17.658794131626557;0.4974308206091988;-0.4443359375;21.546916929816668;
2019-10-23 12:24:56;1.333888888888889;1571826896;212.05379428165406;94.15188466105441;-0.007666984842898526;100.36722400371518;0.9599461668716963;0.0;0.008288725642450779;600;98.07252820512821;98.139;95.316;100.681;5.364999999999995;10.809857401257895;71.07207207207207;1.333888888888889;80.03333333333333;4802;0.05557870370370371;0.444;94.15188466105441;16.135670570632815;17.78763168459894;0.5010600474534912;-0.44677734375;19.61670597587886;
2019-10-23 12:44:56;1.6672222222222222;1571828096;204.93584609696515;90.99151566705252;-0.00740962938727267;100.66411726569677;0.9582085952951851;0.0;0.008481163161955784;600;98.44863807890222;98.525;96.002;100.99;4.9879999999999995;10.809857401257895;71.07207207207207;1.6672222222222222;100.03333333333333;6002;0.0694675925925926;0.444;90.99151566705252;16.135670570632815;17.78763168459894;0.5010600474534912;-0.445556640625;18.95823769822511;
2019-10-23 13:04:56;2.0008333333333335;1571829296;209.58071405956915;93.0538370424487;-0.00757756852925873;101.14406801244077;0.9620334971907389;0.0;0.008062948278847187;600;98.8815819112628;98.816;96.358;101.411;5.052999999999997;10.809857401257895;71.07207207207207;2.0008333333333335;120.05;7203;0.08336805555555556;0.444;93.0538370424487;16.135670570632815;17.78763168459894;0.5010600474534912;-0.44677734375;19.3879258791315;
2019-10-23 13:24:56;2.3341666666666665;1571830496;185.81185106079232;82.50046187099178;-0.006718185121563112;101.07552649625151;0.9530942747528776;0.0;0.00896203228533734;601;99.0579385665529;99.021;96.863;101.478;4.614999999999995;10.809857401257895;71.07207207207207;2.3341666666666665;140.05;8403;0.09725694444444444;0.444;82.50046187099178;16.01879833329676;17.658794131626557;0.4974308206091988;-0.4443359375;17.18911213751721;
2019-10-23 13:44:56;2.667222222222222;1571831696;199.1499395502209;88.42257316029807;-0.007200435027197248;101.42462855789033;0.9525153473327721;0.0;0.009009458720683825;600;99.26576149914821;99.303;96.568;101.611;5.043000000000006;10.809857401257895;71.07207207207207;2.667222222222222;160.03333333333333;9602;0.11113425925925927;0.444;88.42257316029807;16.01879833329676;17.658794131626557;0.4974308206091988;-0.4443359375;18.42299413931646;
2019-10-23 14:04:56;3.0008333333333335;1571832896;201.86120157840398;89.62637350081137;-0.007298463006114693;101.4867755580408;0.9532615165210779;0.0;0.00893839155294245;601;99.29494889267463;99.346;96.568;101.656;5.088000000000008;10.809857401257895;71.07207207207207;3.0008333333333335;180.05;10803;0.12503472222222223;0.444;89.62637350081137;16.135670570632815;17.78763168459894;0.5010600474534912;-0.4443359375;18.673807996293668;
2019-10-23 14:24:57;3.3341666666666665;1571834097;192.60679328012094;85.5174162163737;-0.006963862022466701;101.43263046432259;0.9515977114269225;0.0;0.009111684445579228;600;99.34249572649573;99.346;96.589;101.767;5.177999999999997;10.809857401257895;71.07207207207207;3.3341666666666665;200.05;12003;0.13892361111111112;0.444;85.5174162163737;16.135670570632815;17.78763168459894;0.5010600474534912;-0.4443359375;17.817699728185882;
