***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1214648;
PM number         : 20091365;
Serial number     : FB3-AOT-03-653      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 072;
Ref LED amplitude : 59183;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 20.0 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : OFF;
Analog out        : chA o chB o;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 58.89 at 015.0°C amp 008800;
100.00%a.s.phase 2: 29.17 at 015.0°C amp 004100;
Date   (ddmmyy)   : 120419;
Pressure (mBar)   : 1031;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
05/10/19;
5:11:05 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 5:11:05 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/°; amp; temp/°C; ErrorMessage;
05/10/19;   17:11:05;       0.000;  95.887;   30.78;   14209;   10.00; E0;
05/10/19;   17:11:06;       0.017;  95.696;   30.80;   14209;   10.00; E0;
05/10/19;   17:11:09;       0.033;  95.633;   30.81;   14196;   10.00; E0;
05/10/19;   17:11:12;       0.057;  95.590;   30.82;   14222;   10.00; E0;
05/10/19;   17:11:12;       0.104;  95.569;   30.82;   14209;   10.00; E0;
05/10/19;   17:11:13;       0.119;  95.802;   30.79;   14172;   10.00; E0;
05/10/19;   17:11:14;       0.135;  96.612;   30.69;   13915;   10.00; E0;
05/10/19;   17:11:15;       0.152;  97.689;   30.57;   13834;   10.00; E0;
05/10/19;   17:11:15;       0.169;  98.847;   30.44;   13816;   10.00; E0;
05/10/19;   17:11:16;       0.186; 100.087;   30.30;   13816;   10.00; E0;
05/10/19;   17:11:17;       0.203; 100.647;   30.23;   13779;   10.00; E0;
05/10/19;   17:11:19;       0.220; 100.827;   30.21;   13797;   10.00; E0;
05/10/19;   17:11:19;       0.237; 100.939;   30.20;   13791;   10.00; E0;
05/10/19;   17:11:21;       0.254; 101.007;   30.20;   13766;   10.00; E0;
05/10/19;   17:11:22;       0.271; 100.984;   30.20;   13697;   10.00; E0;
05/10/19;   17:11:23;       0.287; 100.894;   30.21;   13696;   10.00; E0;
05/10/19;   17:11:24;       0.304; 100.669;   30.23;   13696;   10.00; E0;
