AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1500940168
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 90
Mass of fish, kg: 0.1
Fish length - width - heigth, cm: 20;2.5;4.5;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.9
Salinity: 30
Temperature: 26

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2017-07-25 08:55:00;0.1175;1500940590;1697.33123316;169.733123316;-0.0216827715356;84.5739606742;0.987460207059;0.0;0.0120056466319;91;83.5982359551;83.571;82.63;84.602;1.972;6.8164558361;319.0;0.1175;7.05;423;0.00489583333333;0.1;169.733123316;33.7053320312;34.4871706639;1.7243585332;2.8466796875;249.004948315;
2017-07-25 09:02:01;0.234166666667;1500941011;1697.54542305;169.754542305;-0.0216855077313;83.1775619122;0.982877308688;0.0;0.0141103175643;90;82.2125568182;82.189;81.251;83.216;1.965;6.8164558361;319.0;0.234166666667;14.05;843;0.00975694444444;0.1;169.754542305;34.1136787683;34.9049895301;1.7452494765;2.880859375;249.036370787;
2017-07-25 09:09:02;0.351111111111;1500941432;1648.39801058;164.839801058;-0.0210576679229;82.3916684953;0.981433059451;0.0;0.0146933541965;90;81.4546022727;81.457;80.534;82.372;1.838;6.8164558361;319.0;0.351111111111;21.0666666667;1264;0.0146296296296;0.1;164.839801058;33.9678406479;34.7557685065;1.73778842532;2.86865234375;241.826258427;
2017-07-25 09:16:03;0.468055555556;1500941853;1489.31686629;148.931686629;-0.0190254658166;81.9309059561;0.974356911387;0.0;0.0172677574973;90;81.0842727273;81.034;80.281;81.991;1.71;6.8164558361;319.0;0.468055555556;28.0833333333;1685;0.0195023148148;0.1;148.931686629;33.8220025275;34.6065474828;1.73032737414;2.8564453125;218.488449438;
2017-07-25 09:23:04;0.585;1500942274;1405.13830867;140.513830867;-0.017950116234;81.7609278997;0.98861647848;0.0;0.0115050653759;90;80.9621477273;80.94;80.207;81.773;1.566;6.8164558361;319.0;0.585;35.1;2106;0.024375;0.1;140.513830867;33.8803377757;34.6662358923;1.73331179461;2.861328125;206.139134831;
2017-07-25 09:30:05;0.701944444444;1500942695;1388.95634276;138.895634276;-0.0177433976731;81.7837938044;0.982593786512;0.0;0.0150351162491;90;81.0255443038;81.085;80.25;81.841;1.591;6.8164558361;319.0;0.701944444444;42.1166666667;2527;0.0292476851852;0.1;138.895634276;34.376187385;35.1735873726;1.75867936863;2.90283203125;203.765178878;
2017-07-25 09:37:06;0.818888888889;1500943116;1308.54330868;130.854330868;-0.0167161512451;81.7674937304;0.984183380026;0.0;0.0135614964419;90;81.023625;80.9685;80.338;81.731;1.393;6.8164558361;319.0;0.818888888889;49.1333333333;2948;0.0341203703704;0.1;130.854330868;33.5303262867;34.3081054355;1.71540527178;2.83203125;191.968280899;
2017-07-25 09:44:07;0.936111111111;1500943537;1308.93759087;130.893759087;-0.0167211880526;82.0302405956;0.97862454995;0.0;0.0157655239294;91;81.2861477273;81.2755;80.485;82.077;1.592;6.8164558361;319.0;0.936111111111;56.1666666667;3370;0.0390046296296;0.1;130.893759087;34.1136787683;34.9049895301;1.7452494765;2.880859375;192.026123596;
2017-07-25 09:51:09;1.05305555556;1500943958;1290.40563877;129.040563877;-0.0164844492973;82.2526716301;0.981092261285;0.0;0.0148275900576;90;81.5191136364;81.5095;80.784;82.324;1.54;6.8164558361;319.0;1.05305555556;63.1833333333;3791;0.0438773148148;0.1;129.040563877;33.4136557904;34.1887286166;1.70943643083;2.822265625;189.30741573;
2017-07-25 09:58:10;1.17027777778;1500944380;1276.66711033;127.666711033;-0.016308944736;82.7046912226;0.98502681732;0.0;0.0131949526468;91;81.9789431818;81.986;81.245;82.703;1.458;6.8164558361;319.0;1.17027777778;70.2166666667;4213;0.0487615740741;0.1;127.666711033;34.0553435201;34.8453011206;1.74226505603;2.8759765625;187.291921348;
